 Sneaky undead fowl;Stiekeme ondode kip
'Beedy-eye' Jones;'Beedy-eye' Jones
'Beefy' Burns;'Vlezige' brandwonden
'Betty' B.Boppin;'Betty' B.Boppin
'Bird's-Eye' Jack;'Vogeloog' Jack
'Birds-Eye' Jack;'Vogeloog' Jack
'Black-eye';'Zwart oog'
'Currency' The Alchemist;'Valuta' De Alchemist
'Eagle-eye' Shultz;'Adelaarsoog' Shultz
'Gummy';'Kleverig'
'Lecherous' Lee;'Wolstige' Lee
'No fingers';'Geen vingers'
'Picarron' Pete;'Picarron' Piet
'Sticky' Sanders;'Kleverige' Sanders
'The Guns';'De geweren'
'Transmute' The Alchemist;'Transmuteer' de alchemist
1337sp34kr;1337sp34kr 
50% Luke;50% Lucas
? ? ? ?;? ? ? ?
A Doubt;Een twijfel
A pile of broken glass;Een stapel gebroken glas
A'abla;A'abla
Abbot Langley;Abt Langley
Aberab;Aberab
Aberrant spectre;Afwijkend spook
Abhorrent spectre;Afschuwelijk spook
Abidor Crank;Abidor-crank
Abigaila;Abigaïla
Abigale;Abigale
Abomination;Gruwel
Abyssal Sire;Abyssale vader
Abyssal demon;Abyssale demon
Abyssal guardian;Abyssale bewaker
Abyssal leech;Abyssale bloedzuiger
Abyssal orphan;Afgrond wees
Abyssal walker;Abyssale wandelaar
Account Guide;Accountgids
Account security tutor;Docent accountbeveiliging
Achietties;Prestaties
Acidic Bloodveld;Zuur Bloedveld
Acorn;Eikel
Adamant dragon;Adamante draak
Adamantite ore;Adamantitisch erts
Adventurer;Avonturier
Adventurer (easy);Avonturier (makkelijk)
Adventurer Jon;Avonturier Jon
Advisor Ghrim;Adviseur Ghrim
Aemad;Aemad
Aeonisig Raispher;Aeonisig Raispher
Afflicted;Getroffen
Afflicted(Razmire);Getroffen (Razmire)
Afflicted(Ulsquire);Getroffen (Ulsquire)
Afrah;Afrah
Aga;Nogmaals
Aggie;Aggie
Agility Boss;Behendigheid baas
Agility Instructor;Agility-instructeur
Agility Trainer;Behendigheidstrainer
Agmundi;Agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (hard)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (hard)
Ahab;Achab
Ahrim the Blighted;Ahrim de Verwoeste
Air elemental;Lucht elementair
Air wizard;Lucht tovenaar
Aisles;Gangpaden
Aivas;Aiva's
Ajjat;Ajjat
Ak-Haranu;Ak-Haranu
Akthanakos;Akthanakos
Al Shabim;Al Shabim
Al the Camel;Al de Kameel
Al-Kharid warrior;Al-Kharid-krijger
Alain;Alain
Alan;Alan
Albino bat;Albino vleermuis
Alchemical Hydra;Alchemistische Hydra
Alchemy Guardian;Alchemie Bewaker
Alec Kincade;Alec Kincade
Aleck;Aleck
Alek Constantine;Alek Constantijn
Alexander;Alexander
Alexandra;Alexandra
Alexis;Alexis
Alfonse the waiter;Alfonse de ober
Ali Morrisane;Ali Morrisane
Ali The barman;Ali De barman
Ali the Camel;Ali de Kameel
Ali the Camel Man;Ali de Kameelman
Ali the Carter;Ali de Carter
Ali the Farmer;Ali de boer
Ali the Guard;Ali de Garde
Ali the Hag;Ali de Hag
Ali the Kebab seller;Ali de Kebab-verkoper
Ali the Leaflet Dropper;Ali de Leaflet-druppelaar
Ali the Mayor;Ali de burgemeester
Ali the Operator;Ali de exploitant
Ali the Smith;Ali de Smid
Ali the Snake Charmer;Ali de slangenbezweerder
Ali the Tailor;Ali de kleermaker
Ali the dyer;Ali de verver
Alice;Alice
Alice the Camel;Alice de Kameel
Alice's husband;Alice's echtgenoot
Allanna;Allanna
Almera;Almera
Alomone;Alleen
Alrena;Alrena
Alrik;Alrik
Alry the Angler;Alry de visser
Altar;Altaar
Altarkiz;Altarkis
