 Sneaky undead fowl;Ovela epäkuolleet linnut
'Beedy-eye' Jones;"Beedy-eye" Jones
'Beefy' Burns;"Beefy" Burns
'Betty' B.Boppin;"Betty" B.Boppin
'Bird's-Eye' Jack;"Bird's Eye" Jack
'Birds-Eye' Jack;"Birds-Eye" Jack
'Black-eye';'mustasilmä'
'Currency' The Alchemist;"Valuutta" Alkemisti
'Eagle-eye' Shultz;"Kotkansilmä" Shultz
'Gummy';'kumimainen'
'Lecherous' Lee;"Ihme" Lee
'No fingers';"Ei sormia"
'Picarron' Pete;"Picarron" Pete
'Sticky' Sanders;"Tahmea" Sanders
'The Guns';"Aseet"
'Transmute' The Alchemist;"Transmute" The Alchemist
1337sp34kr;1337sp34kr 
50% Luke;50% Luke
? ? ? ?;? ? ? ?
A Doubt;Epäilys
A pile of broken glass;Kasa rikkoutunutta lasia
A'abla;A'abla
Abbot Langley;Apotti Langley
Aberab;Aberab
Aberrant spectre;Aberrantti haamu
Abhorrent spectre;Kammottava haamu
Abidor Crank;Abidor Crank
Abigaila;Abigaila
Abigale;Abigale
Abomination;Kauhistus
Abyssal Sire;Abyssal isä
Abyssal demon;Abyssal demoni
Abyssal guardian;Abyssalin vartija
Abyssal leech;Abyssal iilimato
Abyssal orphan;Abyssal orpo
Abyssal walker;Abyssal kävelijä
Account Guide;Tiliopas
Account security tutor;Tilin turvallisuuden opettaja
Achietties;Achietties
Acidic Bloodveld;Hapan Bloodveld
Acorn;Acorn
Adamant dragon;Adamant lohikäärme
Adamantite ore;Adamantiittimalmi
Adventurer;Seikkailija
Adventurer (easy);Seikkailija (helppo)
Adventurer Jon;Seikkailija Jon
Advisor Ghrim;Neuvonantaja Ghrim
Aemad;Aemad
Aeonisig Raispher;Aeonisig Raispher
Afflicted;Vaurioitunut
Afflicted(Razmire);Vaurioitunut (Razmire)
Afflicted(Ulsquire);Vaikea (Ulsquire)
Afrah;Afrah
Aga;Aga
Aggie;Aggie
Agility Boss;Agility Boss
Agility Instructor;Agilityn ohjaaja
Agility Trainer;Agility Trainer
Agmundi;Agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (kova)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (kova)
Ahab;Ahab
Ahrim the Blighted;Ahrim Blighted
Air elemental;Ilmaelementti
Air wizard;Ilman velho
Aisles;Käytävät
Aivas;Aivas
Ajjat;Ajjat
Ak-Haranu;Ak-Haranu
Akthanakos;Akthanakos
Al Shabim;Al Shabim
Al the Camel;Al kameli
Al-Kharid warrior;Al-Kharidin soturi
Alain;Alain
Alan;Alan
Albino bat;Albino lepakko
Alchemical Hydra;Alkemiallinen Hydra
Alchemy Guardian;Alchemy Guardian
Alec Kincade;Alec Kincade
Aleck;Aleck
Alek Constantine;Aleksi Konstantin
Alexander;Aleksanteri
Alexandra;Alexandra
Alexis;Alexis
Alfonse the waiter;Alfonse tarjoilija
Ali Morrisane;Ali Morrisane
Ali The barman;Ali Baarimikko
Ali the Camel;Ali kameli
Ali the Camel Man;Ali kamelimies
Ali the Carter;Ali Carter
Ali the Farmer;Ali maanviljelijä
Ali the Guard;Ali vartija
Ali the Hag;Ali Hag
Ali the Kebab seller;Ali Kebab-myyjä
Ali the Leaflet Dropper;Ali Lehtitiputtaja
Ali the Mayor;Ali pormestari
Ali the Operator;Ali operaattori
Ali the Smith;Ali Smith
Ali the Snake Charmer;Ali käärmeen hurmaaja
Ali the Tailor;Ali räätäli
Ali the dyer;Ali värjääjä
Alice;Alice
Alice the Camel;Liisa kameli
Alice's husband;Alicen aviomies
Allanna;Allanna
Almera;Almera
Alomone;Alomone
Alrena;Alrena
Alrik;Alrik
Alry the Angler;Alry the Angler
Altar;Alttari
Altarkiz;Altarkiz
Aluft Gianne snr.;Aluft Gianne snr.
Alviss;Alviss
Alwyn;Alwyn
Alyssa;Alyssa
Ambassador Alvijar;Suurlähettiläs Alvijar
Ambassador Ferrnook;Suurlähettiläs Ferrnook
Ambassador Gimblewap;Suurlähettiläs Gimblewap
Ambassador Spanfipple;Suurlähettiläs Spanfipple
Amelia;Amelia
Ammonite Crab;Ammoniittirapu
Amrod;Amrod
Amy;Amy
An old Dwarf;Vanha kääpiö
Ana;Ana
Anaire;Anaire
Ancient Fungi;Muinaiset sienet
Ancient Ghost;Muinainen Ghost
Ancient Guardian;Muinainen vartija
Ancient Wizard;Muinainen velho
Ancient Wyvern;Muinainen Wyvern
Ancient Zygomite;Muinainen tsygomiitti
Ancient monkey;Muinainen apina
Andiess Juip;Andiess Juip
Andras;Andras
Andrea;Andrea
Andros Mai;Andros Mai
Aneirin;Aneirin
Angel;Enkeli
Angelo;Angelo
Angry barbarian spirit;Vihainen barbaarihenki
Angry bear;Vihainen karhu
Angry giant rat;Vihainen jättirotta
Angry goblin;Vihainen peikko
Angry unicorn;Vihainen yksisarvinen
Animated Adamant Armour;Animoitu Adamant Armor
Animated Black Armour;Animoitu Black Armour
Animated Bronze Armour;Animoitu pronssipanssari
Animated Iron Armour;Animoitu Iron Armor
Animated Mithril Armour;Animoitu Mithril Armor
Animated Rune Armour;Animoitu Rune Armor
Animated Steel Armour;Animoitu teräspanssari
Animated spade;Animoitu lapio
Animated steel armour;Animoitu teräspanssari
Anita;Anita
Anja;Anja
Ankou;Ankou
Anleif;Anleif
Anna;Anna
Anna Jones;Anna Jones
Anne Isaakson;Anne Isaakson
Annette;Annette
Annoyed guardian mummy;Ärsyttää huoltajamuumio
Anton;Anton
Anwen;Anwen
Apmeken;Apmeken
Apothecary;Apteekkari
Apprentice;Oppipoika
Apprentice (medium);Oppipoika (keskikokoinen)
Apprentice workman;Työntekijän oppipoika
Aranwe;Aranwe
Archaeological expert;Arkeologinen asiantuntija
Archaeologist;Arkeologi
Archeio;Archeio
Archer;Jousimies
Archpriest of the Unicorn;Yksisarvisen arkkipappi
Arcis;Arcis
Aredhel;Aredhel
Aretha;Aretha
Arhein;Arhein
Arianwyn;Arianwyn
Arianwyn (hard);Arianwyn (kova)
Aristarchus;Aristarkus
Armadylean guard;Armadylean vartija
Armod;Armod
Armour salesman;Panssarikauppias
Armoured Foe;Panssarivihollinen
Armourer (tier 1);Panssari (taso 1)
Armourer (tier 2);Panssari (taso 2)
Armourer (tier 3);Panssari (taso 3)
Armourer (tier 4);Panssari (taso 4)
Armourer (tier 5);Panssari (taso 5)
Army Commander;Armeijan komentaja
Arno;Arno
Arnold Lydspor;Arnold Lydspor
Arnor;Arnor
Arrg;Arrg
Arrg (hard);Arrg (kova)
Arsen the Thief;Varas Arsen
Art;Taide
Art Critic Jacques;Taidekriitikko Jacques
Arthur;Arthur
Arthur the Clue Hunter;Arthur vihjeenmetsästäjä
Artimeus;Artimeus
Artur Hosidius;Artur Hosidius
Arvel;Arvel
Arzinian Avatar of Magic;Arzinian Magic Avatar
Arzinian Avatar of Ranging;Arzinian Avatar of Ranging
Arzinian Avatar of Strength;Arzinian Voiman Avatar
Arzinian Being of Bordanzan;Arzinian Bordanzanin olento
Ash;Tuhka
Ashild;Ashild
Askeladden;Askeladden
Assassin;Salamurhaaja
Assistant;Assistant
Assistant Brock;Assistentti Brock
Assistant Le Smith;Assistentti Le Smith
Assistant Lori;Assistentti Lori
Assistant Marrow;Assistentti Marrow
Assistant Serf;Assistant Serf
Assistant Stan;Assistentti Stan
Asteros Arceuus;Asteros Arceuus
Asyff;Asyff
Asyn Shade;Asyn Shade
Asyn Shadow;Asyn Shadow
Asyn shadow;Asyn varjo
Atlas;Atlas
Aubury;Aubury
Auctioneer;Huutokaupanpitäjä
Audmann;Audmann
Auguste;Auguste
Aurel;Aurel
Austri;Austri
Autumn Elemental;Syksyn elementaali
Ava;Ava
Avan;Avan
Avatar of Creation;Luomisen avatar
Avatar of Destruction;Tuhon avatar
Aviansie;Aviansie
Awakened Altar;Herätty alttari
Awowogei;Awowogei
Awusah the Mayor;Awusah pormestari
Ayesha;Ayesha
Azzanadra;Azzanadra
Baba Yaga;Baba Yaga
Baby Chinchompa;Chinchompa vauva
Baby Mole;Vauva Myyrä
Baby Mole-rat;Vauva Myyrä-rotta
Baby Roc;Vauva Roc
Baby black dragon;Vauva musta lohikäärme
Baby blue dragon;Vauvan sininen lohikäärme
Baby green dragon;Vauvan vihreä lohikäärme
Baby impling;Vauva vihjailee
Baby red dragon;Vauva punainen lohikäärme
Baby tanglefoot;Vauvan tanglefoot
Badger;Mäyrä
Bailey;Bailey
Baker;Leipuri
Bakuna;Bakuna
Bald Headed Eagle;Bald Headed Eagle
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;Ilmapallo eläin
Balloon Toad;Ilmapallo rupikonna
Bandit;Bandit
Bandit Leader;Bandiitin johtaja
Bandit champion;Bandiitin mestari
Bandit shopkeeper;Bandit kauppias
Bandosian guard;Bandosian vartija
Banisoch;Banisoch
Bank guard;Pankin vartija
Banker;Pankkiiri
Banker tutor;Pankkiirin opettaja
Banknote Exchange Merchant;Setelien vaihtokauppias
Banshee;Banshee
Baraek;Baraek
Barb-tailed kebbit;Piikkihäntäkebbit
Barbara;Barbara
Barbarian;Barbaari
Barbarian Warlord;Barbaari sotapäällikkö
Barbarian guard;Barbaari vartija
Bardur;Bardur
Barfy Bill;Barfy Bill
Barge foreman;Proomun työnjohtaja
Barge guard;Proomun vartija
Barge workman;Proomun työmies
Bark Blamish Snail;Bark Blamish Snail
Barker;Barker
Barlak;Barlak
Barmaid;Tarjoilijatar
Barman;Baarimikko
Barnabus Hurma;Barnabus Hurma
Barrelchest;Barrelchest
Barrelchest (hard);tynnyri (kova)
Barricade;Barrikadi
Bartak;Bartak
Bartender;Baarimikko
Basilisk;Basiliski
Basilisk Knight;Basiliskin ritari
Basilisk Sentinel;Basilisk Sentinel
Basilisk Youngling;Basilisk Youngling
Bast;Bast
Bat;Bat
Batt Mellamy;Batt Mellamy
Battle mage;Taistelumaagi
Battle tortoise display;Taistelukilpikonnan näyttö
Baxtorian;Baxtorian
Bear Cub;Karhunpentu
Bearded gorilla;Parrakas gorilla
Beaver;Majava
Bed;Vuode
Bedabin Nomad;Bedabin Nomad
Bedabin Nomad Fighter;Bedabin Nomad Fighter
Bedabin Nomad Guard;Bedabin Nomad Guard
Bedread the bold;Lihavoitu vuodeliina
Bee keeper;Mehiläishoitaja
Bees!;Mehiläiset!
Beggar;Kerjäläinen
Beigarth;Beigarth
Beite;Beite
Bellemorde;Bellemorde
Belona;Belona
Bench;Penkki
Benjamin;Benjamin
Benny;Benny
Bentamir;Bentamir
Bernald;Bernald
Berry;Marja
Berserk barbarian spirit;Berserk barbaarihenki
Bert;Bert
Betty;Betty
Biblia;Biblia
Big Dave;Iso Dave
Big Snake;Iso käärme
Big Wolf;Iso susi
Big frog;Iso sammakko
BigRedJapan;BigRedJapan
Bill Teach;Bill Teach
Billy;Billy
Billy Goat;Billy Goat
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, Faladorin vartija
Bird;Lintu
Bjorn;Björn
Black Cat;Musta Kissa
Black Guard;Musta vartija
Black Guard Berserker;Mustakaarti Berserker
Black Heather;Musta kanerva
Black Knight;Musta ritari
Black Knight Captain;Black Knight kapteeni
Black Knight Titan;Black Knight Titan
Black Knight Titan (hard);Black Knight Titan (kova)
Black bear;Musta karhu
Black chinchompa;Musta chinchompa
Black demon;Musta demoni
Black demon (hard);Musta demoni (kova)
Black dragon;Musta lohikäärme
Black golem;Musta golem
Black knight;Musta ritari
Black salamander;Musta salamanteri
Black swan;Musta joutsen
Black unicorn;Musta yksisarvinen
Black unicorn Foal;Musta yksisarvinen varsa
Black warlock;Musta velho
Blackjack seller;Blackjack myyjä
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanin
Blasidar the sculptor;kuvanveistäjä Blasidar
Blast Furnace Foreman;Masuunin työnjohtaja
Blessed giant rat;Siunattu jättirotta
