A Goblin standard;Goblin-standardi
A dark crystal;Tumma kristalli
Abyssal Sire Topiary;Abyssal Sire Topiary
Achey Tree stump;Achey-puun kanto
A rock;Kivi
Aged log;Ikääntynyt hirsi
Altar of Zamorak;Zamorakin alttari
Ancient Mural;Muinainen seinämaalaus
Antiques Shop Stall;Antiikkikaupan kioski
Achievement diary display;Saavutuspäiväkirjan näyttö
Ancient Gate;Muinainen portti
Ancient Grave;Muinainen hauta
Ancient chest;Vanha rintakehä
A bunk bed;Kerrossänky
A chasm;Kuilu
A fairy workbench;Keiju työpöytä
A tropical tree;Trooppinen puu
Abyssal rift;Abyssal repeämä
Acid pool;Happoallas
Alan;Alan
An anonymous looking door;Anonyymin näköinen ovi
Ancestral Glyph;Esi-isän Glyfi
Ancient bush;Vanha pensas
A flag;Lippu
Abandoned Cart;Hylätty kärry
Abyssal Sire display;Abyssal Siren näyttö
Achey Tree;Achey Tree
Adult Yommi tree;Aikuinen Yommi-puu
Alcove;Alkovi
Altar space;Alttaritila
An experimental anvil;Kokeellinen alasin
Ancient Fire;Muinainen tuli
Ancient Incubator;Vanha hautomo
Ancient Relic;Muinainen jäänne
A wall;Seinä
Accomplishment scroll space;Saavutus vieritystila
Alchemical Hydra display;Alchemical Hydra -näyttö
Alchemical door;Alkemiallinen ovi
Altar of Guthix;Guthixin alttari
Altar slab;Alttari laatta
Amlodd Banner;Amlodd Banner
Amulet of Glory;Amulet of Glory
Ancient cave painting;Muinainen luolamaalaus
Anna's barrel;Annan tynnyri
A Sinking Canoe;Uppoava kanootti
A primitive joke;Alkukantainen vitsi
Abandoned Equipment;Hylätyt laitteet
Alchemical Hydra;Alkemiallinen Hydra
Alchemists Teleport;Alchemists Teleport
Almost a Statue;Melkein patsas
Anchor;Ankkuri
Ancient Altar;Muinainen alttari
Ancient Books;Muinaiset kirjat
Ancient Zygomite;Muinainen tsygomiitti
Alchemical Topiary;Alchemical Topiary
Altar of the Occult;Okkultismin alttari
Animal skull;Eläimen kallo
Annakarl Portal;Annakarlin portaali
Anti-Dragon Breath Shield;Anti-Dragon Breath Shield
Aggie's Cauldron;Aggien pata
Altar;Alttari
Anchor rope;Ankkuri köysi
Ancient Shroom;Muinainen Shroom
Ancient machinery;Vanhat koneet
A Shayzien State;Shayzienin osavaltio
Acidic miasma;Hapan miasma
Adamant armour;Adamant panssari
Allotment;Siirtolapuutarha
Amulet space;Amuletti tilaa
A barrel of rainwater;Tynnyri sadevettä
A crack;Halkeama
A gap through the wall;Rako seinän läpi
A peculiar foot print;Erikoinen jalanjälki
A shabby tent;Nuhjuinen teltta
An old lever;Vanha vipu
A burnt tree;Palanut puu
Altar of nature;Luonnon alttari
An ogre standard;Ogre-standardi
Ancient Equipment;Vanhat laitteet
Ancient metal gate;Vanha metallinen portti
Anvil;Alasin
Absorption potion;Imeytyvä juoma
Air balloon;Ilmapallo
Alchemical chart;Alkemiallinen kaavio
Ancient Machinery;Muinaiset koneet
Ancient Rock;Muinainen kallio
Anima patch;Anima laastari
Adventure log space;Seikkailulokitila
Air rift;Ilmarako
Ancient Pillar;Muinainen pilari
Absence of tears;Kyynelten puuttuminen
Ancient gallows;Vanha hirsipuu
A Clam Shell;Simpukkakuori
A fallen barrel;Pudonnut tynnyri
A wooden log;Puinen hirsi
Abstract mural;Abstrakti seinämaalaus
Abyssal demon head;Abyssal demonin pää
Ali M's Market;Ali M:n tori
Ancient brazier;Vanha pannu
Baker's Stall;Baker's Stall
Bakery stall;Leipomokioski
Bamboo Gate;Bambu portti
Bank deposit box;Pankin talletuslokero
Arrows;Nuolet
Asgarnian Hops;Asgarnian humala
Asgarnian ale;Asgarnian ale
Ash pile;Tuhkakasa
Avalanche;Lumivyöry
Banana tree;Banaani puu
Banana tree stump;Banaanipuun kanto
Apple Press;Apple Press
Armour display;Panssarin näyttö
Attack stone;Hyökkäyskivi
Badly repaired wall;Huonosti korjattu seinä
Bags for sale;Laukut myytävänä
Bamboo Ladder;Bambu tikkaat
Bank Deposit Box;Pankin talletuslaatikko
Apparatus;Laitteet
Apple tree;Omenapuu
Arena Entrance;Areenan sisäänkäynti
Artefact;Artefact
Axeman's Folly;Axeman's Folly
Bank Deposit Chest;Pankkitalletusarkku
Apple basket;Omenakori
Apple tree stump;Omenapuun kanto
Aquarium;Akvaario
Arceuus Library Portal;Arceuusin kirjastoportaali
Armour;Panssari
Armour stand;Panssarijalusta
Bamboo Stool;Bambujakkara
Bank Chest-wreck;Pankkiarkun hylky
Backpack;Reppu
Baker's stall;Leipurin koju
Bamboo Bookcase;Bambu kirjahylly
Bank Table;Pankkipöytä
Bank counter;Pankin laskuri
Arcane crystal;Arkaaninen kristalli
Arceuus statue;Arceuusin patsas
Arena space;Areenan tila
Arrav;Arrav
Banana Tree;Banaanipuu
Appendage;Lisäke
Arctic Pine;Arktinen mänty
Ardougne Wall Door;Ardougne seinäovi
Artefacts;Artefaktit
Baby red dragon;Vauva punainen lohikäärme
Bank Box;Pankkilaatikko
Bank light;Pankin valo
Arm;Arm
Armour space;Panssari tilaa
Attacker item machine;Hyökkääjän esinekone
Apple Tree;Omenapuu
Arch;Kaari
Armadyl armour display case;Armadyl panssari vitriinin
Armour stall;Panssaritalli
Axe case;Kirves tapaus
Axes;Akselit
Ballista;Ballista
Bamboo Pipes;Bambu putket
Arena;Arena
Armour repair stand;Panssarin korjausteline
Attas plant display;Attasin kasvinäyttely
Awakened Altar;Herätty alttari
Bandage table;Sidospöytä
Bank;Pankki
Armour case;Panssarikotelo
Attas plant;Attasin kasvi
Bamboo Door;Bambu ovi
Bank chest;Pankkiarkku
Archery target;Jousiammunta tavoite
Armadyl altar;Armadyl alttari
Armed Forces Report;Puolustusvoimien raportti
Arrow;Nuoli
Aspidistra plant;Aspidistra-kasvi
Awowogei;Awowogei
Bailing buckets;Kauhat
Ball;Pallo
Bandos altar;Bandos alttari
Bandos armour display case;Bandos-panssarivitriini
Archway;Holvikäytävä
Argento;Argento
Asgarnian Ale;Asgarnian Ale
Astronomical chart;Tähtitieteellinen kartta
Aviary Hatch;Aviary Hatch
Balancing ledge;Tasapainottava reunus
Bamboo Desk;Bambu työpöytä
Bank Deposit Pot;Pankkitalletuspotti
Bank booth;Pankin koppi
Ape Atoll Dungeon Portal;Ape Atoll Dungeon -portaali
Ardougne Portal;Ardougne-portaali
Arena Exit;Areenan uloskäynti
Balance beam;Tasapainotuspalkki
Balancing rope;Tasapainotusköysi
Bamboo Bed;Bambu sänky
Bank notice board;Pankin ilmoitustaulu
Armillary sphere;Armillaarinen pallo
Armour case space;Panssarikotelo tilaa
Axe cabinet;Kirves kaappi
Bank Booth;Pankin Booth
Bank safe;Pankkiturvallinen
Barbarian chair;Barbaari tuoli
Barrel of Water;Tynnyri vettä
Barren patch;Karu laastari
Basket;Kori
Beer barrels;Oluttynnyrit
Big Plant space 2;Iso kasvitila 2
Banner stand space;Banner-telinetila
Barley;Ohra
Barrel of flour;Tynnyri jauhoja
Beacon;Majakka
Bell-pull;Kellon veto
Belladonna;Belladonna
Big hole;Iso reikä
Big plant 2;Iso kasvi 2
Big window;Iso ikkuna
Bath screen;Kylpynäyttö
Bathtub;Kylpyamme
Bed space;Sänkytilaa
Big Door;Iso ovi
Bank papers;Pankkipaperit
Barrel of Spears;Keihään piippu
Barricade;Barrikadi
Barronite Crusher;Barronite Crusher
Beard;Parta
Bellshroom;Bellshroom
Banner stand;Banneriteline
Barbarian anvil;Barbaari alasin
Barrel space;Tynnyritilaa
Bath pipes;Kylpyputket
Bay window;Erkkeri
Beetle;Kovakuoriainen
Biclopse;Biclopse
Bank table;Pankin pöytä
Barbarian table;Barbaaripöytä
Barrel of fishbones;Tynnyri kalanruotoa
Barrel rack;Tynnyriteline
Beam;Säde
Beanstalk;Pavunvarsi
Bedroom door;Makuuhuoneen ovi
Bell mechanism;Kellomekanismi
Bar;Baari
Bar pumps;Tankopumput
Basket Fungi;Korin sienet
Beehive;Mehiläispesä
Big beer barrel;Iso oluttynnyri
Big chest;Iso rintakehä
Barrel of fish;Tynnyri kalaa
Big egg;Iso muna
Banquet table;Juhlapöytä
Barge controls;Proomun ohjaimet
Bars;Baarit
Basalt rock;Basalttikivi
Battle tower;Taistelun torni
Battlement;Taistelu
Beach;Ranta
Beacon.;Majakka.
Bellows;Palkeet
Big door;Iso ovi
Big, foot print;Iso, jalanjälki
Banner making stand;Banderollien valmistusteline
Barbarian bed;Barbaari sänky
Barrel;Tynnyri
Basic Jewellery Box;Peruskorulaatikko
Battlefront Portal;Battlefront-portaali
Bear droppings;Karhun jätöksiä
Belladonna patch;Belladonna laastari
Big Button;Iso painike
Big, big boulder...;Iso, iso kivi...
Bell rope;Kellon köysi
Big Tree space;Big Tree tilaa
Big plant;Iso kasvi
Bar dispenser;Baariannostelija
Bed hotspot;Bed hotspot
Bell;Bell
Big Compost Bin;Iso kompostilaatikko
Barrels;Tynnyrit
Barrier;Este
Barstool;Baarituoli
Battlements;Rintavarustus
Bean Mound;Bean Mound
Beanstump;Beanstump
Bed;Vuode
Big Plant space 1;Iso kasvitila 1
Barricade table;Barrikadipöytä
Barrow;Barrow
Barrows Portal;Barrowsin portaali
Basilisk head;Basiliskin pää
Beer barrel;Olut tynnyri
Bell pull space;Kellon vetotila
Bells;Kellot
Betty's cauldron;Bettyn ​​pata
Banner;Banneri
Barrel of Mud;Mutatynnyri
Bath;Kylpy
Bathroom table;Kylpyhuoneen pöytä
Battering ram;Muurinmurtaja
Bench;Penkki
Big fish;Iso kala
Big vase;Iso maljakko
Black Chest;Musta Rinta
Blockage;Tukos
Boat Chute;Vene Chute
Bob's barrel;Bobin tynnyri
Bonfire;Kokko
Bottle machine;Pullokone
Bow and arrow;Jousi ja nuoli
Bird feeder;Lintujen syöttölaite
Blighted vine;Hajonnut viiniköynnös
Blood Altar;Verialttari
Bologano seedling;Bologanon taimi
Boulder;Siirtolohkare
Blacksmith's tools;Sepän työkalut
Blighted Logavano plant;Tuhoutunut Logavanon kasvi
Blisterwood Tree;Blisterwood Tree
Blue Flowers;Sinisiä kukkia
Blue banner;Sininen banneri
Blue flowers;Sinisiä kukkia
Boiler;Kattila
Bonzo's Table;Bonzon pöytä
Books;Kirjat
Blighted Bologano plant;Tuhoutunut Bologanon kasvi
Blindweed Patch;Blindweed Patch
Bone barrel;Luu tynnyri
Bitternut Tree;Bitternut Tree
Black hole;Musta aukko
Blocked volcanic chamber;Tukkeutunut vulkaaninen kammio
Blood rift;Veren repeämä
Blooming Hespori sprout;Kukkiva Hesporin verso
Book Cart;Kirjakori
Boss lair space;Boss lair tilaa
Birthday cake;Syntymäpäiväkakku
Blocked Crevice;Estetty rako
Blocked entry;Estetty pääsy
Bone door;Luuovi
Bookcase space;Kirjahyllytila
Bird cage stand;Lintuhäkkiteline
Birdhouse;Birdhouse
Blighted Bologano seedling;Tyhjentynyt Bologanon taimi
Blighted Golovanova seedling;Blowed Golovanova taimi
Blue Barrier;Sininen este
Boils;Kiehuu
Bone Chain;Luuketju
Blade;Terä
Blighted Logavano seedling;Blighted Logavanon taimi
Blood Stinktree;Blood Stinktree
Boards;Taulut
Boaty;Veneinen
Bog;Bog
Bookcase;Kirjahylly
Bird hide structure;Lintujen piilorakenne
Blocked tunnel;Tukkeutunut tunneli
