 Sneaky undead fowl;Poule morte-vivante sournoise
'Beedy-eye' Jones;"Beedy-eye" Jones
'Beefy' Burns;Des brûlures « costaudes »
'Betty' B.Boppin;'Betty' B. Boppin
'Bird's-Eye' Jack;Jack « à vol d'oiseau »
'Birds-Eye' Jack;Jack « à vol d'oiseau »
'Black-eye';'Œil au beurre noir'
'Currency' The Alchemist;'Monnaie' L'Alchimiste
'Eagle-eye' Shultz;Shultz « à l'œil d'aigle »
'Gummy';'Gommeux'
'Lecherous' Lee;Lee « lubrique »
'No fingers';"Pas de doigts"
'Picarron' Pete;Pete "Picarron"
'Sticky' Sanders;Ponceuses « collantes »
'The Guns';"Les armes"
'Transmute' The Alchemist;'Transmuter' L'Alchimiste
1337sp34kr;1337sp34kr 
50% Luke;50% Luc
? ? ? ?;? ? ? ?
A Doubt;Un doute
A pile of broken glass;Un tas de verre brisé
A'abla;A'abla
Abbot Langley;Abbé Langley
Aberab;Abérab
Aberrant spectre;Spectre aberrant
Abhorrent spectre;Spectre odieux
Abidor Crank;Manivelle Abador
Abigaila;Abigaïla
Abigale;Abigale
Abomination;Abomination
Abyssal Sire;Père abyssal
Abyssal demon;Démon abyssal
Abyssal guardian;Gardien abyssal
Abyssal leech;Sangsue abyssale
Abyssal orphan;Orphelin abyssal
Abyssal walker;Marcheur abyssal
Account Guide;Guide du compte
Account security tutor;Tuteur en sécurité des comptes
Achietties;Réalisations
Acidic Bloodveld;Veld de sang acide
Acorn;Gland
Adamant dragon;Dragon inflexible
Adamantite ore;Minerai d'adamantite
Adventurer;Aventurier
Adventurer (easy);Aventurier (facile)
Adventurer Jon;L'aventurier Jon
Advisor Ghrim;Conseiller Ghrim
Aemad;Aémad
Aeonisig Raispher;Éonisig Raispher
Afflicted;Affligé
Afflicted(Razmire);Affligé(Razmire)
Afflicted(Ulsquire);Affligé(Ulsquire)
Afrah;Afrah
Aga;Aga
Aggie;Aggie
Agility Boss;Patron d'agilité
Agility Instructor;Instructeur d'agilité
Agility Trainer;Entraîneur d'agilité
Agmundi;Agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (dur)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (dur)
Ahab;Achab
Ahrim the Blighted;Ahrim le Dévasté
Air elemental;Élémentaire de l'air
Air wizard;Assistant aérien
Aisles;Allées
Aivas;Aivas
Ajjat;Ajjat
Ak-Haranu;Ak-Haranu
Akthanakos;Akthanakos
Al Shabim;Al-Shabim
Al the Camel;Al le chameau
Al-Kharid warrior;Guerrier d'Al-Kharid
Alain;Alain
Alan;Alain
Albino bat;Chauve-souris albinos
Alchemical Hydra;Hydre alchimique
Alchemy Guardian;Gardien de l'alchimie
Alec Kincade;Alec Kincade
Aleck;Aleck
Alek Constantine;Alek Constantin
Alexander;Alexandre
Alexandra;Alexandra
Alexis;Alexis
Alfonse the waiter;Alphonse le serveur
Ali Morrisane;Ali Morrisane
Ali The barman;Ali le barman
Ali the Camel;Ali le chameau
Ali the Camel Man;Ali l'homme chameau
Ali the Carter;Ali le Carter
Ali the Farmer;Ali le fermier
Ali the Guard;Ali le garde
Ali the Hag;Ali la sorcière
Ali the Kebab seller;Ali le vendeur de Kebab
Ali the Leaflet Dropper;Ali le compte-gouttes de dépliants
Ali the Mayor;Ali le maire
Ali the Operator;Ali l'Opérateur
Ali the Smith;Ali le Forgeron
Ali the Snake Charmer;Ali le charmeur de serpents
Ali the Tailor;Ali le tailleur
Ali the dyer;Ali le teinturier
Alice;Alice
Alice the Camel;Alice le chameau
Alice's husband;Le mari d'Alice
Allanna;Allanna
Almera;Almera
Alomone;Alone
Alrena;Alréna
Alrik;Alrik
Alry the Angler;Alry le pêcheur
Altar;Autel
Altarkiz;Altarkiz
Aluft Gianne snr.;Aluft Gianne snr.
Alviss;Alvis
Alwyn;Alwyn
Alyssa;Alyssa
Ambassador Alvijar;Ambassadeur Alvijar
Ambassador Ferrnook;Ambassadeur Ferrnook
Ambassador Gimblewap;Ambassadeur Gimblewap
Ambassador Spanfipple;Ambassadeur Spanfipple
Amelia;Amélie
Ammonite Crab;Crabe ammonite
Amrod;Amrod
Amy;Amy
An old Dwarf;Un vieux nain
Ana;Ana
Anaire;Anaire
Ancient Fungi;Champignons anciens
Ancient Ghost;Ancien fantôme
Ancient Guardian;Ancien Gardien
Ancient Wizard;Ancien sorcier
Ancient Wyvern;Wyverne ancienne
Ancient Zygomite;Zygomite ancienne
Ancient monkey;Singe ancien
Andiess Juip;Andiess Juip
Andras;Andras
Andrea;Andréa
Andros Mai;Andros Mai
Aneirin;Aneirine
Angel;Ange
Angelo;Angelo
Angry barbarian spirit;Esprit barbare en colère
Angry bear;Ours en colère
Angry giant rat;Rat géant en colère
Angry goblin;Gobelin en colère
Angry unicorn;Licorne en colère
Animated Adamant Armour;Armure catégorique animée
Animated Black Armour;Armure noire animée
