A Clam Shell;Une coquille de palourde
A Goblin standard;Un standard gobelin
A Shayzien State;Un État Shayzien
A Sinking Canoe;Un canoë qui coule
A barrel of rainwater;Un baril d'eau de pluie
A bunk bed;Un lit superposé
A burnt tree;Un arbre brûlé
A chasm;Un gouffre
A crack;Une fissure
A dark crystal;Un cristal sombre
A fairy workbench;Un établi de fée
A fallen barrel;Un tonneau tombé
A flag;Un drapeau
A gap through the wall;Une brèche à travers le mur
A peculiar foot print;Une empreinte de pas particulière
A primitive joke;Une blague primitive
A rock;Un rocher
A shabby tent;Une tente minable
A tropical tree;Un arbre tropical
A wall;Un mur
A wooden log;Une bûche de bois
Abandoned Cart;Chariot abandonné
Abandoned Equipment;Équipement abandonné
Absence of tears;Absence de larmes
Absorption potion;Potion d'absorption
Abstract mural;Peinture murale abstraite
Abyssal Sire Topiary;Topiaire Père Abyssal
Abyssal Sire display;Affichage du Père Abyssal
Abyssal demon head;Tête de démon abyssal
Abyssal rift;Faille abyssale
Accomplishment scroll space;Espace de défilement des réalisations
Achey Tree;Arbre d'Achey
Achey Tree stump;Souche d'arbre Achey
Achievement diary display;Affichage du journal des réalisations
Acid pool;Piscine acide
Acidic miasma;Miasme acide
Adamant armour;Armure inflexible
Adult Yommi tree;Arbre Yommi adulte
Adventure log space;Espace carnet d'aventure
Aged log;Journal âgé
Aggie's Cauldron;Le chaudron d'Aggie
Air balloon;Montgolfière
Air rift;Faille aérienne
Alan;Alain
Alchemical Hydra;Hydre alchimique
Alchemical Hydra display;Affichage de l'Hydre alchimique
Alchemical Topiary;Topiaire alchimique
Alchemical chart;Tableau alchimique
Alchemical door;Porte alchimique
Alchemists Teleport;Téléportation des alchimistes
Alcove;Alcôve
Ali M's Market;Le marché d'Ali M
Allotment;Attribution
Almost a Statue;Presque une statue
Altar;Autel
Altar of Guthix;Autel de Guthix
Altar of Zamorak;Autel de Zamorak
Altar of nature;Autel de la nature
Altar of the Occult;Autel de l'Occulte
Altar slab;Dalle d'autel
Altar space;Espace autel
Amlodd Banner;Bannière Amlodd
Amulet of Glory;Amulette de gloire
Amulet space;Espace amulette
An anonymous looking door;Une porte à l'aspect anonyme
An experimental anvil;Une enclume expérimentale
An ogre standard;Un étalon d'ogre
An old lever;Un vieux levier
Ancestral Glyph;Glyphe ancestral
Anchor;Ancre
Anchor rope;Corde d'ancrage
Ancient Altar;Autel antique
Ancient Books;Livres anciens
Ancient Equipment;Équipement ancien
Ancient Fire;Feu ancien
Ancient Gate;Porte antique
Ancient Grave;Tombe antique
Ancient Incubator;Incubateur ancien
Ancient Machinery;Machines anciennes
Ancient Mural;Peinture murale ancienne
Ancient Pillar;Pilier antique
Ancient Relic;Relique ancienne
Ancient Rock;Rocher antique
Ancient Shroom;Champignon ancien
Ancient Zygomite;Zygomite ancienne
Ancient brazier;Brasero ancien
