hello;Hallo
Hello;Hallo
hello!;Hallo!
Hello!;Hallo!
Hello there;Hallo
Hello there!;Hallo!
Good work. Hopefully there's something useful behind it.;Good work. Hoffentlich steckt etwas Nützliches dahinter.
The death throes of the rats seem to have shaken the door loose its hinges. You pick it up and go through.;Der Todeskampf der Ratten schien die Tür aus den Angeln gerissen zu haben. Man hebt es auf und geht durch.
Don't be so sure. I got here by following a clue, a clue left behind by Lady Hefin. I seek her on behalf of Baxtorian himself.;Seien Sie nicht so sicher. Ich bin hierher gekommen, indem ich einem Hinweis gefolgt bin, einem Hinweis, den Lady Hefin hinterlassen hat. Ich suche sie im Namen von Baxtorian selbst.
Red Axe Director;Red Axe-Direktor
I want to use your whetstone.;Ich möchte deinen Schleifstein benutzen.
You seem to be quite resourceful, outerlander. Go and show it to the chieftain.;Du scheinst ziemlich einfallsreich zu sein, Outlander. Geh und zeig es dem Häuptling.
Clearly you are a master smith, perhaps one of the best human smiths in all of Gielinor. Yet this is beyond even you.;Offensichtlich bist du ein Meisterschmied, vielleicht einer der besten menschlichen Schmiede in ganz Gielinor. Doch das übersteigt nicht einmal Sie.
You'll find more information on account security on the Customer Support webpage. You can use the useful links section of the Account Management menu to get there.;Weitere Informationen zur Kontosicherheit finden Sie auf der Kundensupport-Webseite. Sie können den Abschnitt mit nützlichen Links im Menü „Kontoverwaltung“ verwenden, um dorthin zu gelangen.
What if I were to say she's still out there! Read this entry that I found hidden within a secret part of the memoir.;Was wäre, wenn ich sagen würde, dass sie immer noch da draußen ist! Lesen Sie diesen Eintrag, den ich in einem geheimen Teil der Memoiren versteckt gefunden habe.
It could be a risky move.;Es könnte ein riskanter Schritt sein.
Verzik... She died!;Verzik... Sie ist gestorben!
Die intruder!;Stirb, Eindringling!
(End of cut scene.);(Ende der Zwischensequenz.)
If you don't mind, I'd appreciate it if you'd not mention what we found here to Sedridor and the others until I'm ready.;Wenn es Ihnen nichts ausmacht, würde ich es begrüßen, wenn Sie Sedridor und den anderen gegenüber nicht erwähnen würden, was wir hier gefunden haben, bis ich dazu bereit bin.
Light the firecrackers?;Feuerwerkskörper anzünden?
When she was still in power, the ruler of Hallowvale, Queen Efaritay Hallow, had this mausoleum built. It was constructed to one day house her and her human husband, King Ascertes Hallow.;Als sie noch an der Macht war, ließ die Herrscherin von Hallowvale, Königin Efaritay Hallow, dieses Mausoleum errichten. Es wurde gebaut, um sie und ihren menschlichen Ehemann, König Ascertes Hallow, eines Tages zu beherbergen.
Kovac;Kovac
Burntof steps on a tile, setting something off.;Burntof tritt auf eine Fliese und löst etwas aus.
Here's the dossier on the case.;Hier ist das Dossier zu dem Fall.
Now that Ysgawyn has returned, I thought we should gather to hear what he has discovered.;Jetzt, da Ysgawyn zurückgekehrt ist, dachte ich, wir sollten zusammenkommen, um zu hören, was er entdeckt hat.
Skeleton Mage;Skelettmagier
Oh, crystal discs? I may have a few of those in a drawer somewhere.;Oh, Kristallscheiben? I may have a few of those in a drawer somewhere.
Hello Vertida.;Hallo Vertida.
