Follow;Folgen
Bank;Bank
Examine;Prüfen
Cancel;Stornieren
Collect;Sammeln
Trade with;Handeln Sie mit
Sets;Sets
Exchange;Austausch
History;Geschichte
Report;Bericht
Talk-to;Reden
Lookup;Nachschlagen
Walk here;Gehen Sie hierher
Prices;Preise
Drop;Fallen
Decant;Dekantieren
Use;Verwenden
View <col=ff981f>Ranged</col> guide;<col=ff981f>Fernkampf</col>-Leitfaden ansehen
View <col=ff981f>Farming</col> guide;Sehen Sie sich den Leitfaden <col=ff981f>Landwirtschaft</col> an
View <col=ff981f>Sailing</col> guide;Sehen Sie sich den <col=ff981f>Segelführer</col> an
Call follower;Follower anrufen
View <col=ff981f>Construction</col> guide;<col=ff981f>Bauanleitung</col> ansehen
Add to canvas;Zur Leinwand hinzufügen
Remove;Entfernen
View <col=ff981f>Runecraft</col> guide;Sehen Sie sich den <col=ff981f>Runecraft</col>-Leitfaden an
View <col=ff981f>Magic</col> guide;Sehen Sie sich den <col=ff981f>Magic</col>-Leitfaden an
View <col=ff981f>Thieving</col> guide;Sehen Sie sich den Leitfaden zum <col=ff981f>Diebstahl</col> an
View <col=ff981f>Agility</col> guide;Sehen Sie sich den Leitfaden zur <col=ff981f>Agilität</col> an
View <col=ff981f>Woodcutting</col> guide;Sehen Sie sich den Leitfaden zum <col=ff981f>Holzschneiden</col> an
View guide prices;Richtpreise ansehen
View <col=ff981f>Cooking</col> guide;Anleitung zum <col=ff981f>Kochen</col> ansehen
View equipment stats;Ausrüstungsstatistiken anzeigen
View <col=ff981f>Prayer</col> guide;Sehen Sie sich den Leitfaden zum <col=ff981f>Gebet</col> an
View <col=ff981f>Herblore</col> guide;Sehen Sie sich den <col=ff981f>Herblore</col>-Leitfaden an
View items kept on death;Sehen Sie sich Gegenstände an, die beim Sterben aufbewahrt werden
Wiki;Wiki
View <col=ff981f>Crafting</col> guide;<col=ff981f>Bastelanleitung</col> ansehen
Play;Spielen
Skull;Schädel
Rewards;Belohnungen
View <col=ff981f>Mining</col> guide;<col=ff981f>Mining</col>-Leitfaden ansehen
View <col=ff981f>Hunter</col> guide;<col=ff981f>Hunter</col>-Leitfaden ansehen
View <col=ff981f>Slayer</col> guide;<col=ff981f>Slayer</col>-Anleitung ansehen
View <col=ff981f>Strength</col> guide;Sehen Sie sich den Leitfaden zur <col=ff981f>Stärke</col> an
View <col=ff981f>Hitpoints</col> guide;Sehen Sie sich den <col=ff981f>Hitpoints</col>-Leitfaden an
View <col=ff981f>Smithing</col> guide;<col=ff981f>Schmiede</col>-Anleitung ansehen
View <col=ff981f>Defence</col> guide;Sehen Sie sich den Leitfaden zur <col=ff981f>Verteidigung</col> an
View <col=ff981f>Fletching</col> guide;Anleitung zum <col=ff981f>Befiederung</col> ansehen
View <col=ff981f>Attack</col> guide;Anleitung zum <col=ff981f>Angriff</col> ansehen
Open <col=ff9040>Ardougne Journal</col>;Öffnen Sie das <col=ff9040>Ardougne Journal</col>
Read journal:;Tagebuch lesen:
Wiki <col=ff9040>Desert Journal</col>;Wiki <col=ff9040>Wüstentagebuch</col>
View <col=ff981f>Firemaking</col> guide;Sehen Sie sich den Leitfaden <col=ff981f>Feuermachen</col> an
Open <col=ff9040>Desert Journal</col>;Öffnen Sie <col=ff9040>Wüstenjournal</col>
Show on map:;Auf der Karte anzeigen:
Start Quest Helper;Starten Sie den Quest-Helfer
Start Helper;Helfer starten
Wiki <col=ff9040>Ardougne Journal</col>;Wiki <col=ff9040>Ardougne Journal</col>
Open wiki guide:;Wiki-Anleitung öffnen:
Open wiki quick guide:;Wiki-Kurzanleitung öffnen:
Collection Overview;Sammlungsübersicht
Tasks;Aufgaben
Achievement Diaries;Erfolgstagebücher
Overview;Überblick
Reveal;Aufdecken
Bosses;Bosse
Collection Log;Sammlungsprotokoll
Activate;Aktivieren
View;Sicht
Cast;Gießen
Your Clan;Dein Clan
Grouping;Gruppierung
Setup;Aufstellen
Grand Exchange;Großer Austausch
View another clan;Sehen Sie sich einen anderen Clan an
Configure;Konfigurieren
Join;Verbinden
Punch;Stempel
Toggle;Umschalten
Auto retaliate;Automatische Vergeltung
Settings;Einstellungen
Random;Zufällig
Unlock hint;Hinweis zum Entsperren
Block;Block
Kick;Kick
Manual;Handbuch
Select;Wählen
I don't know it.;Ich weiß es nicht.
Exit;Ausfahrt
View Inbox;Posteingang anzeigen
Skills;Fähigkeiten
View <col=ff981f>Fishing</col> guide;Sehen Sie sich den Leitfaden zum <col=ff981f>Angeln</col> an
Worn Equipment;Abgenutzte Ausrüstung
Enable spell reordering;Aktivieren Sie die Neuordnung von Zaubersprüchen
Combat Options;Kampfoptionen
Enable spell filtering;Aktivieren Sie die Zauberfilterung
Disable prayer filtering;Deaktivieren Sie die Gebetsfilterung
Quest List;Questliste
Character Summary;Charakterzusammenfassung
Magic;Magie
Prayer;Gebet
Enable prayer reordering;Aktivieren Sie die Neuordnung der Gebete
Show;Zeigen
Deposit;Kaution
Open Store;Store öffnen
Loot;Beute
Destroy;Zerstören
Music Player;Musik-Player
Inventory;Inventar
Chop down;Fällen
<col=ffff00>Clan:</col> Show none;<col=ffff00>Clan:</col> Keine anzeigen
Report abuse;Missbrauch melden
World Switcher;Weltumschalter
<col=ffff00>Trade:</col> Show none;<col=ffff00>Handel:</col> Keine anzeigen
Display;Anzeige
Useful links;Nützliche Links
<col=ffff00>Trade:</col> Show friends;<col=ffff00>Handel:</col> Freunden anzeigen
Community;Gemeinschaft
Audio;Audio
<col=ffff00>Clan:</col> Show all;<col=ffff00>Clan:</col> Alle anzeigen
