 Sneaky undead fowl;Heimtückisches untotes Geflügel
'Beedy-eye' Jones;„Beedy-Eye“ Jones
'Beefy' Burns;„Beefy“ Burns
'Betty' B.Boppin;„Betty“ B. Boppin
'Bird's-Eye' Jack;„Bird's-Eye“-Jack
'Birds-Eye' Jack;„Birds-Eye“-Jack
'Black-eye';„Schwarzauge“
'Currency' The Alchemist;„Währung“ Der Alchemist
'Eagle-eye' Shultz;„Adlerauge“ Shultz
'Gummy';'Gummiartig'
'Lecherous' Lee;„Geiler“ Lee
'No fingers';„Keine Finger“
'Picarron' Pete;„Picarron“ Pete
'Sticky' Sanders;„Klebrige“ Sanders
'The Guns';„Die Waffen“
'Transmute' The Alchemist;„Transmutieren“ Sie den Alchemisten
1337sp34kr;1337sp34kr 
50% Luke;50% Lukas
? ? ? ?;? ? ? ?
A Doubt;Ein Zweifel
A pile of broken glass;Ein Haufen Glasscherben
A'abla;A'abla
Abbot Langley;Abt Langley
Aberab;Aberab
Aberrant spectre;Aberrantes Gespenst
Abhorrent spectre;Abscheuliches Gespenst
Abidor Crank;Abidor-Kurbel
Abigaila;Abigaila
Abigale;Abigale
Abomination;Gräuel
Abyssal Sire;Abgründiger Vater
Abyssal demon;Abgründiger Dämon
Abyssal guardian;Abgründiger Wächter
Abyssal leech;Abgründiger Blutegel
Abyssal orphan;Abgründiges Waisenkind
Account Guide;Kontoleitfaden
Account security tutor;Tutor für Kontosicherheit
Acidic Bloodveld;Saures Blutfeld
Acorn;Eichel
Adamant dragon;Adamant-Drache
Adamantite ore;Adamantit-Erz
Adventurer;Abenteurer
Adventurer (easy);Abenteurer (einfach)
Adventurer Jon;Abenteurer Jon
Advisor Ghrim;Berater Ghrim
Aemad;Aemad
Aeonisig Raispher;Aeonisig Raispher
Afflicted;Betroffen
Afflicted(Razmire);Betroffen (Razmire)
Afflicted(Ulsquire);Betroffen (Ulsquire)
Afrah;Afrah
Aga;Aga
Aggie;Aggie
Agility Boss;Agility-Chef
Agility Instructor;Agility-Trainer
Agility Trainer;Agility-Trainer
Agmundi;Agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (hart)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (hart)
Ahab;Ahab
Ahrim the Blighted;Ahrim der Verdorbene
Air elemental;Luftelementar
Air wizard;Luftzauberer
Aisles;Gänge
Aivas;Aivas
Ajjat;Ajjat
Ak-Haranu;Ak-Haranu
Akthanakos;Akthanakos
Al Shabim;Al Shabim
Al the Camel;Al das Kamel
Al-Kharid warrior;Al-Kharid-Krieger
Alain;Alain
Alan;Alan
Albino bat;Albino-Fledermaus
Alchemical Hydra;Alchemistische Hydra
Alchemy Guardian;Alchemiewächter
Alec Kincade;Alec Kincade
Aleck;Aleck
Alek Constantine;Alek Constantine
Alexander;Alexander
Alexandra;Alexandra
Alexis;Alexis
Alfonse the waiter;Alfonse der Kellner
Ali Morrisane;Ali Morrisane
Ali The barman;Ali Der Barmann
Ali the Camel;Ali das Kamel
Ali the Camel Man;Ali der Kamelmann
Ali the Carter;Ali der Fuhrmann
Ali the Farmer;Ali der Bauer
Ali the Guard;Ali der Wächter
Ali the Hag;Ali die Hexe
Ali the Kebab seller;Ali der Kebab-Verkäufer
Ali the Leaflet Dropper;Ali, der Flugblattwerfer
Ali the Mayor;Ali der Bürgermeister
Ali the Operator;Ali der Betreiber
Ali the Smith;Ali der Schmied
Ali the Snake Charmer;Ali der Schlangenbeschwörer
Ali the Tailor;Ali der Schneider
Ali the dyer;Ali der Färber
Alice;Alice
Alice the Camel;Alice das Kamel
Alice's husband;Alices Ehemann
Allanna;Allanna
Almera;Almera
Alomone;Alomone
Alrena;Alrena
Alrik;Alrik
Alry the Angler;Alry der Angler
Altar;Altar
Altarkiz;Altarkiz
Aluft Gianne snr.;Aluft Gianne snr.
Alviss;Alviss
Alwyn;Alwyn
Alyssa;Alyssa
Ambassador Alvijar;Botschafter Alvijar
Ambassador Ferrnook;Botschafter Ferrnook
Ambassador Gimblewap;Botschafter Gimblewap
Ambassador Spanfipple;Botschafter Spanfipple
Amelia;Amelia
Ammonite Crab;Ammonitenkrabbe
Amrod;Amrod
Amy;Amy
An old Dwarf;Ein alter Zwerg
Ana;Ana
Anaire;Anaire
Ancient Fungi;Alte Pilze
Ancient Ghost;Uralter Geist
Ancient Guardian;Alter Wächter
Ancient Wizard;Alter Zauberer
Ancient Wyvern;Uralter Wyvern
Ancient Zygomite;Uralter Zygomit
Ancient monkey;Alter Affe
Andiess Juip;Andiess Juip
Andras;Andras
Andrea;Andrea
Andros Mai;Andros Mai
Aneirin;Aneirin
Angel;Engel
Angelo;Angelo
Angry barbarian spirit;Wütender Barbarengeist
Angry bear;Wütender Bär
Angry giant rat;Wütende Riesenratte
Angry goblin;Wütender Kobold
Angry unicorn;Wütendes Einhorn
Animated Adamant Armour;Animierte Adamant-Rüstung
Animated Black Armour;Animierte schwarze Rüstung
Animated Bronze Armour;Animierte Bronzerüstung
Animated Iron Armour;Animierte Eisenrüstung
Animated Mithril Armour;Animierte Mithril-Rüstung
Animated Rune Armour;Animierte Runenrüstung
Animated Steel Armour;Animierte Stahlrüstung
Animated spade;Animierter Spaten
Animated steel armour;Animierte Stahlrüstung
Anita;Anita
Anja;Anja
Ankou;Ankou
Anleif;Anleif
Anna;Anna
Anna Jones;Anna Jones
Anne Isaakson;Anne Isaakson
Annette;Annette
Annoyed guardian mummy;Verärgerte Wächter-Mami
Anton;Anton
Anwen;Anwen
Apmeken;Apmeken
Apothecary;Apotheker
Apprentice;Lehrling
Apprentice (medium);Lehrling (mittel)
Apprentice workman;Handwerkslehrling
Aranwe;Aranwe
Archaeological expert;Archäologischer Experte
Archaeologist;Archäologe
Archeio;Archeio
Archer;Bogenschütze
Archpriest of the Unicorn;Erzpriester des Einhorns
Arcis;Arcis
Aredhel;Aredhel
Aretha;Aretha
Arhein;Arhein
Arianwyn;Arianwyn
Arianwyn (hard);Arianwyn (hart)
Aristarchus;Aristarch
Armadylean guard;Armadylean-Wache
Armod;Armod
Armour salesman;Rüstungsverkäufer
Armoured Foe;Gepanzerter Feind
Armourer (tier 1);Waffenschmied (Stufe 1)
Armourer (tier 2);Waffenschmied (Stufe 2)
Armourer (tier 3);Waffenschmied (Stufe 3)
Armourer (tier 4);Waffenschmied (Stufe 4)
Armourer (tier 5);Waffenschmied (Stufe 5)
Army Commander;Heerführer
Arno;Arno
Arnold Lydspor;Arnold Lydspor
Arnor;Arnor
Arrg;Arrg
Arrg (hard);Arrg (hart)
Arsen the Thief;Arsen der Dieb
Art;Kunst
Art Critic Jacques;Kunstkritiker Jacques
Arthur;Arthur
Arthur the Clue Hunter;Arthur, der Hinweisjäger
Artimeus;Artimeus
Artur Hosidius;Artur Hosidius
Arvel;Arvel
Arzinian Avatar of Magic;Arzinianischer Avatar der Magie
Arzinian Avatar of Ranging;Arzinianischer Avatar des Fernkampfs
Arzinian Avatar of Strength;Arzinianischer Avatar der Stärke
Arzinian Being of Bordanzan;Arzinianisches Wesen von Bordanzan
Ash;Asche
Ashild;Ashild
Askeladden;Askeladden
Assassin;Attentäter
Assistant;Assistent
Assistant Brock;Assistent Brock
Assistant Le Smith;Assistent Le Smith
Assistant Lori;Assistentin Lori
Assistant Marrow;Assistent Marrow
Assistant Serf;Stellvertretender Leibeigener
Assistant Stan;Assistent Stan
Asteros Arceuus;Asteros Arceuus
Asyff;Asyff
Asyn Shade;Asyn Shade
Asyn Shadow;Asyn Schatten
Asyn shadow;Asyn-Schatten
Atlas;Atlas
Aubury;Aubury
Auctioneer;Auktionator
Audmann;Audmann
Auguste;Auguste
Aurel;Aurel
Austri;Österreich
Autumn Elemental;Herbstelementar
Ava;Ava
Avan;Avan
Avatar of Creation;Avatar der Schöpfung
Avatar of Destruction;Avatar der Zerstörung
Aviansie;Aviansie
Awakened Altar;Erwachter Altar
Awowogei;Awowogei
Awusah the Mayor;Awusah der Bürgermeister
Ayesha;Ayesha
Azzanadra;Azzanadra
Baba Yaga;Baba Jaga
Baby Chinchompa;Baby Chinchompa
Baby Mole;Baby-Maulwurf
Baby Mole-rat;Baby-Maulwurfsratte
Baby Roc;Baby Roc
Baby black dragon;Baby schwarzer Drache
Baby blue dragon;Babyblauer Drache
Baby green dragon;Baby grüner Drache
Baby impling;Baby fleht an
Baby red dragon;Baby-roter Drache
Baby tanglefoot;Baby-Tanglefoot
Badger;Dachs
Bailey;Bailey
Baker;Bäcker
Bakuna;Bakuna
Bald Headed Eagle;Weißkopfseeadler
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;Ballontier
Balloon Toad;Ballonkröte
Bandit;Bandit
Bandit Leader;Banditenführer
Bandit champion;Banditen-Champion
Bandit shopkeeper;Banditenladenbesitzer
Bandosian guard;Bandosianische Wache
Banisoch;Banisoch
Bank guard;Bankwächter
Banker;Banker
Banker tutor;Nachhilfelehrer für Banker
Banknote Exchange Merchant;Banknotenwechselhändler
Banshee;Banshee
Baraek;Baraek
Barb-tailed kebbit;Kebbit mit Widerhakenschwanz
Barbara;Barbara
Barbarian;Barbar
Barbarian Warlord;Barbarischer Kriegsherr
Barbarian guard;Barbarenwache
Bardur;Bardur
Barfy Bill;Barfy Bill
Barge foreman;Kahnvorarbeiter
Barge guard;Kahnwächter
Barge workman;Kahnarbeiter
Bark Blamish Snail;Rindenschnecke
Barker;Barker
Barlak;Barlak
Barmaid;Bardame
Barman;Barmann
Barnabus Hurma;Barnabus Hurma
Barrelchest;Fasstruhe
Barrelchest (hard);Fassbrust (hart)
Barricade;Barrikade
Bartak;Bartak
Bartender;Barmann
Basilisk;Basilisk
Basilisk Knight;Basiliskenritter
Basilisk Sentinel;Basilisk-Wächter
Basilisk Youngling;Basilisk-Jungling
Bast;Bast
Bat;Schläger
Batt Mellamy;Batt Mellamy
Battle mage;Kampfmagier
Battle tortoise display;Kampfschildkröten-Ausstellung
Baxtorian;Baxtorianer
Bear Cub;Bärenjunges
Bearded gorilla;Bartgorilla
Beaver;Biber
Bed;Bett
Bedabin Nomad;Bedabin Nomad
Bedabin Nomad Fighter;Bedabin Nomad Fighter
Bedabin Nomad Guard;Bedabin-Nomadenwache
Bedread the bold;Bettlesen Sie das Mutige
Bee keeper;Imker
Bees!;Bienen!
Beggar;Bettler
Beigarth;Beigarth
Beite;Beite
Bellemorde;Bellemorde
Belona;Belona
Bench;Bank
Benjamin;Benjamin
Benny;Benny
Bentamir;Bentamir
Bernald;Bernald
Berry;Beere
Berserk barbarian spirit;Berserker-Barbarengeist
Bert;Bert
Betty;Betty
Biblia;Biblia
Big Snake;Große Schlange
Big Wolf;Großer Wolf
Big frog;Großer Frosch
BigRedJapan;BigRedJapan
Bill Teach;Bill Teach
Billy;Billy
Billy Goat;Ziegenbock
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, ein Wächter von Falador
Bird;Vogel
Bjorn;Björn
Black Cat;Schwarze Katze
Black Guard;Schwarze Garde
Black Guard Berserker;Berserker der Schwarzen Garde
Black Heather;Schwarze Heide
Black Knight;Schwarzer Ritter
Black Knight Captain;Kapitän der Schwarzen Ritter
Black Knight Titan;Schwarzer Ritter-Titan
Black Knight Titan (hard);Black Knight Titan (schwer)
Black bear;Schwarzer Bär
Black chinchompa;Schwarzer Chinchompa
Black demon;Schwarzer Dämon
Black demon (hard);Schwarzer Dämon (hart)
Black dragon;Schwarzer Drache
Black golem;Schwarzer Golem
Black salamander;Schwarzer Salamander
Black swan;Schwarzer Schwan
Black unicorn;Schwarzes Einhorn
Black unicorn Foal;Schwarzes Einhornfohlen
Black warlock;Schwarzer Hexenmeister
Blackjack seller;Blackjack-Verkäufer
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanin
Blasidar the sculptor;Blasidar, der Bildhauer
Blast Furnace Foreman;Hochofenvorarbeiter
Blessed giant rat;Gesegnete Riesenratte
