 Sneaky undead fowl;Uccelli non morti subdoli
'Beedy-eye' Jones;Jones "L'occhio alato".
'Beefy' Burns;Bruciature "muscolose".
'Betty' B.Boppin;"Betty" B. Boppin
'Bird's-Eye' Jack;Jack "a volo d'uccello".
'Birds-Eye' Jack;Jack "Vista a volo d'uccello".
'Black-eye';'Occhio nero'
'Currency' The Alchemist;"Valuta" L'Alchimista
'Eagle-eye' Shultz;Shultz "occhio d'aquila".
'Gummy';'Gommoso'
'Lecherous' Lee;"Lascivo" Lee
'No fingers';"Niente dita"
'Picarron' Pete;Pete "Picarron".
'Sticky' Sanders;Sanders "appiccicoso".
'The Guns';"Le pistole"
'Transmute' The Alchemist;'Trasmutare' L'Alchimista
1337sp34kr;1337sp34kr 
50% Luke;50% Luca
? ? ? ?;? ? ? ?
A Doubt;Un dubbio
A pile of broken glass;Un mucchio di vetri rotti
A'abla;A'abla
Abbot Langley;Abate Langley
Aberab;Aberab
Aberrant spectre;Spettro aberrante
Abhorrent spectre;Spettro abominevole
Abidor Crank;Manovella Abidor
Abigaila;Abigaila
Abigale;Abigale
Abomination;Abominio
Abyssal Sire;Signore Abissale
Abyssal demon;Demone abissale
Abyssal guardian;Guardiano abissale
Abyssal leech;Sanguisuga abissale
Abyssal orphan;Orfano abissale
Abyssal walker;Camminatore abissale
Account Guide;Guida all'account
Account security tutor;Tutor sulla sicurezza dei conti
Achietties;Achiecità
Acidic Bloodveld;Bloodveld acido
Acorn;Ghianda
Adamant dragon;Drago irremovibile
Adamantite ore;Minerale di Adamantite
Adventurer;Avventuriero
Adventurer (easy);Avventuriero (facile)
Adventurer Jon;L'avventuriero Jon
Advisor Ghrim;Consigliere Ghrim
Aemad;Aemad
Aeonisig Raispher;Aeonisig Raispher
Afflicted;Afflitto
Afflicted(Razmire);Afflitto(Razmire)
Afflicted(Ulsquire);Afflitto(Ulsquire)
Afrah;Afrah
Aga;Agà
Aggie;Aggie
Agility Boss;Capo dell'Agilità
Agility Instructor;Istruttore di Agilità
Agility Trainer;Allenatore di agilità
Agmundi;Agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (difficile)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (difficile)
Ahab;Achab
Ahrim the Blighted;Ahrim il Maledetto
Air elemental;Elementale dell'aria
Air wizard;Mago dell'aria
Aisles;Corridoi
Aivas;Aivas
Ajjat;Ajjat
Ak-Haranu;Ak-Haranu
Akthanakos;Akthanakos
Al Shabim;Al-Shabim
Al the Camel;Al Cammello
Al-Kharid warrior;Guerriero Al-Kharid
Alain;Alain
Alan;Alan
Albino bat;Pipistrello albino
Alchemical Hydra;Idra Alchemica
Alchemy Guardian;Guardiano dell'Alchimia
Alec Kincade;Alec Kincade
Aleck;Aleck
Alek Constantine;Alek Costantino
Alexander;Alessandro
Alexandra;Alessandra
Alexis;Alessio
Alfonse the waiter;Alfonso il cameriere
Ali Morrisane;Ali Morrisane
Ali The barman;Ali Il barista
Ali the Camel;Ali il cammello
Ali the Camel Man;Ali l'uomo dei cammelli
Ali the Carter;Ali il Carter
Ali the Farmer;Ali il contadino
Ali the Guard;Ali la Guardia
Ali the Hag;Ali la Strega
Ali the Kebab seller;Ali il venditore di kebab
Ali the Leaflet Dropper;Ali il contagocce
Ali the Mayor;Alì il sindaco
Ali the Operator;Ali l'Operatore
Ali the Smith;Ali lo Smith
Ali the Snake Charmer;Ali l'incantatore di serpenti
Ali the Tailor;Ali il Sarto
Ali the dyer;Ali il tintore
Alice;Alice
Alice the Camel;Alice il cammello
Alice's husband;Il marito di Alice
Allanna;Allanna
Almera;Almera
Alomone;Alomone
Alrena;Arena
Alrik;Alrick
Alry the Angler;Alry il pescatore
Altar;Altare
Altarkiz;Altarkiz
Aluft Gianne snr.;Aluft Gianne snr.
Alviss;Alviss
Alwyn;Alwyn
Alyssa;Alissa
Ambassador Alvijar;Ambasciatore Alvijar
Ambassador Ferrnook;Ambasciatore Ferrnook
Ambassador Gimblewap;Ambasciatore Gimblewap
Ambassador Spanfipple;Ambasciatore Spanfipple
Amelia;Amelia
Ammonite Crab;Granchio ammonita
Amrod;Amrod
Amy;Amy
An old Dwarf;Un vecchio nano
Ana;Anna
Anaire;Anaire
Ancient Fungi;Antichi funghi
Ancient Ghost;Antico fantasma
Ancient Guardian;Antico Guardiano
Ancient Wizard;Antico Mago
Ancient Wyvern;Antica Viverna
Ancient Zygomite;Antico Zigomite
Ancient monkey;Antica scimmia
Andiess Juip;Andiess Juip
Andras;Andras
Andrea;Andrea
Andros Mai;Andros Mai
Aneirin;Aneirin
Angel;Angelo
Angelo;Angelo
Angry barbarian spirit;Spirito barbaro arrabbiato
Angry bear;Orso arrabbiato
Angry giant rat;Ratto gigante arrabbiato
Angry goblin;Folletto arrabbiato
Angry unicorn;Unicorno arrabbiato
Animated Adamant Armour;Armatura Adamant animata
Animated Black Armour;Armatura nera animata
Animated Bronze Armour;Armatura di bronzo animata
Animated Iron Armour;Armatura di ferro animata
Animated Mithril Armour;Armatura di Mithril animata
Animated Rune Armour;Armatura runica animata
Animated Steel Armour;Armatura d'acciaio animata
Animated spade;Vanga animata
Animated steel armour;Armatura d'acciaio animata
Anita;Anita
