A Goblin standard;Uno standard dei Goblin
A dark crystal;Un cristallo scuro
Abyssal Sire Topiary;Topiaria del Sire Abissale
Achey Tree stump;Achey Ceppo di albero
A rock;Una roccia
Aged log;Registro invecchiato
Altar of Zamorak;Altare di Zamorak
Ancient Mural;Antico murale
Antiques Shop Stall;Bancarella del negozio di antiquariato
Achievement diary display;Visualizzazione del diario dei risultati
Ancient Gate;Porta Antica
Ancient Grave;Tomba antica
Ancient chest;Cassapanca antica
A bunk bed;Un letto a castello
A chasm;Un abisso
A fairy workbench;Un banco da lavoro fatato
A tropical tree;Un albero tropicale
Abyssal rift;Spaccatura abissale
Acid pool;Piscina acida
Alan;Alan
An anonymous looking door;Una porta dall'aspetto anonimo
Ancestral Glyph;Glifo ancestrale
Ancient bush;Cespuglio antico
A flag;Una bandiera
Abandoned Cart;Carrello abbandonato
Abyssal Sire display;Visualizzazione del Sire Abissale
Achey Tree;Achey albero
Adult Yommi tree;Albero Yommi adulto
Alcove;Alcova
Altar space;Spazio dell'altare
An experimental anvil;Un'incudine sperimentale
Ancient Fire;Fuoco Antico
Ancient Incubator;Antico incubatore
Ancient Relic;Reliquia antica
A wall;Un muro
Accomplishment scroll space;Spazio di scorrimento dei risultati
Alchemical Hydra display;Visualizzazione dell'Idra Alchemica
Alchemical door;Porta alchemica
Altar of Guthix;Altare di Guthix
Altar slab;Lastra dell'altare
Amlodd Banner;Stendardo di Amlodd
Amulet of Glory;Amuleto della Gloria
Ancient cave painting;Antica pittura rupestre
Anna's barrel;La botte di Anna
A Sinking Canoe;Una canoa che affonda
A primitive joke;Uno scherzo primitivo
Abandoned Equipment;Attrezzature abbandonate
Alchemical Hydra;Idra Alchemica
Alchemists Teleport;Teletrasporto degli alchimisti
Almost a Statue;Quasi una statua
Anchor;Ancorare
Ancient Altar;Antico Altare
Ancient Books;Libri antichi
Ancient Zygomite;Antico Zigomite
Alchemical Topiary;Topiaria alchemica
Altar of the Occult;Altare dell'Occulto
Animal skull;Cranio animale
Annakarl Portal;Portale Annakarl
Anti-Dragon Breath Shield;Scudo per il respiro anti-drago
Aggie's Cauldron;Il calderone di Aggie
Altar;Altare
Anchor rope;Corda di ancoraggio
Ancient Shroom;Fungo Antico
Ancient machinery;Macchinari antichi
A Shayzien State;Uno stato Shayzien
Acidic miasma;Miasma acido
Adamant armour;Armatura irremovibile
Allotment;Riparto
Amulet space;Spazio amuleto
A barrel of rainwater;Un barile di acqua piovana
A crack;Una crepa
A gap through the wall;Un varco attraverso il muro
A peculiar foot print;Un'impronta particolare
A shabby tent;Una tenda squallida
An old lever;Una vecchia leva
A burnt tree;Un albero bruciato
Altar of nature;Altare della natura
An ogre standard;Uno standard da orco
Ancient Equipment;Attrezzature antiche
Ancient metal gate;Antico cancello in metallo
Anvil;Incudine
Absorption potion;Pozione di assorbimento
Air balloon;Mongolfiera
Alchemical chart;Carta alchemica
Ancient Machinery;Macchinari antichi
Ancient Rock;Roccia Antica
Anima patch;Patch dell'Anima
Adventure log space;Spazio per il registro delle avventure
Air rift;Spaccatura aerea
Ancient Pillar;Pilastro antico
Absence of tears;Assenza di lacrime
Ancient gallows;Antica forca
A Clam Shell;Una conchiglia
A fallen barrel;Un barile caduto
A wooden log;Un tronco di legno
Abstract mural;Murale astratto
