 Sneaky undead fowl;Galinha morta-viva sorrateira
'Beedy-eye' Jones;'Olho-Beedy' Jones
'Beefy' Burns;Queimaduras 'carnudas'
'Betty' B.Boppin;'Betty' B. Boppin
'Bird's-Eye' Jack;Jack 'olho de pássaro'
'Birds-Eye' Jack;Jack 'Olho de Pássaro'
'Black-eye';'Olho roxo'
'Currency' The Alchemist;'Moeda' O Alquimista
'Eagle-eye' Shultz;Shultz 'olho de águia'
'Gummy';'Gomoso'
'Lecherous' Lee;'Lecheroso' Lee
'No fingers';'Sem dedos'
'Picarron' Pete;'Picarron' Pete
'Sticky' Sanders;Lixadeiras 'pegajosas'
'The Guns';'As armas'
'Transmute' The Alchemist;‘Transmutar’ O Alquimista
1337sp34kr;1337sp34kr 
50% Luke;50% Lucas
? ? ? ?;? ? ? ?
A Doubt;Uma dúvida
A pile of broken glass;Uma pilha de vidro quebrado
A'abla;A'abla
Abbot Langley;Abade Langley
Aberab;Aberab
Aberrant spectre;Espectro aberrante
Abhorrent spectre;Espectro abominável
Abidor Crank;Manivela Abidor
Abigaila;Abigaila
Abigale;Abigale
Abomination;Abominação
Abyssal Sire;Senhor Abissal
Abyssal demon;Demônio abissal
Abyssal guardian;Guardião Abissal
Abyssal leech;Sanguessuga abissal
Abyssal orphan;Órfão abissal
Abyssal walker;Caminhante Abissal
Account Guide;Guia da conta
Account security tutor;Tutor de segurança de conta
Achietties;Achiettis
Acidic Bloodveld;Bloodveld Ácido
Acorn;Bolota
Adamant dragon;Dragão Adamante
Adamantite ore;Minério de Adamantita
Adventurer;Aventureiro
Adventurer (easy);Aventureiro (fácil)
Adventurer Jon;Aventureiro Jon
Advisor Ghrim;Conselheiro Ghrim
Aemad;Aemad
Aeonisig Raispher;Aeonisig Raispher
Afflicted;Afligido
Afflicted(Razmire);Afligido (Razmire)
Afflicted(Ulsquire);Aflito (Ulsquire)
Afrah;Afra
Aga;Ága
Aggie;Aggie
Agility Boss;Chefe de agilidade
Agility Instructor;Instrutor de Agilidade
Agility Trainer;Treinador de Agilidade
Agmundi;Agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (difícil)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (difícil)
Ahab;Acabe
Ahrim the Blighted;Ahrim, o Arruinado
Air elemental;Elemental do ar
Air wizard;Mago do ar
Aisles;Corredores
Aivas;Aivas
Ajjat;Ajjat
Ak-Haranu;Ak-Haranu
Akthanakos;Aktanakos
Al Shabim;Al-Shabim
Al the Camel;Al o Camelo
Al-Kharid warrior;Guerreiro Al-Kharid
Alain;Alan
Alan;Alan
Albino bat;Morcego albino
Alchemical Hydra;Hidra Alquímica
Alchemy Guardian;Guardião da Alquimia
Alec Kincade;Alec Kincade
Aleck;Aleck
Alek Constantine;Alex Constantino
Alexander;Alexandre
Alexandra;Alexandra
Alexis;Alexis
Alfonse the waiter;Afonso, o garçom
Ali Morrisane;Ali Morrisane
Ali The barman;Ali, o barman
Ali the Camel;Ali, o Camelo
Ali the Camel Man;Ali, o Homem Camelo
Ali the Carter;Ali o Carter
Ali the Farmer;Ali, o Fazendeiro
Ali the Guard;Ali, o Guarda
Ali the Hag;Ali, a Bruxa
Ali the Kebab seller;Ali, o vendedor de Kebab
Ali the Leaflet Dropper;Ali, o conta-gotas de folhetos
Ali the Mayor;Ali, o prefeito
Ali the Operator;Ali o Operador
Ali the Smith;Ali, o Ferreiro
Ali the Snake Charmer;Ali, o Encantador de Serpentes
Ali the Tailor;Ali, o Alfaiate
Ali the dyer;Ali, o tintureiro
Alice;Alice
Alice the Camel;Alice, o Camelo
Alice's husband;Marido de Alice
Allanna;Allana
Almera;Almera
Alomone;Alomone
Alrena;Alrena
Alrik;Alrik
Alry the Angler;Alry, o Pescador
