 Sneaky undead fowl;Aves no muertas furtivas
'Beedy-eye' Jones;'Beedy-eye' Jones
'Beefy' Burns;Quemaduras 'fornidas'
'Betty' B.Boppin;'Betty' B. Boppin
'Bird's-Eye' Jack;Jack 'ojo de pájaro'
'Birds-Eye' Jack;Jack 'ojo de pájaro'
'Black-eye';'Ojo morado'
'Currency' The Alchemist;'Moneda' El Alquimista
'Eagle-eye' Shultz;Shultz 'ojo de águila'
'Gummy';'Pegajoso'
'Lecherous' Lee;Lee 'lascivo'
'No fingers';'Sin dedos'
'Picarron' Pete;Pete 'Picarrón'
'Sticky' Sanders;Lijadoras 'pegajosas'
'The Guns';'Las armas'
'Transmute' The Alchemist;'Transmutar' al alquimista
1337sp34kr;1337sp34kr 
50% Luke;50% lucas
? ? ? ?;? ? ? ?
A Doubt;una duda
A pile of broken glass;Un montón de vidrios rotos
A'abla;A'abla
Abbot Langley;Abad Langley
Aberab;Aberab
Aberrant spectre;Espectro aberrante
Abhorrent spectre;Espectro aborrecible
Abidor Crank;Manivela Abidor
Abigaila;abigaila
Abigale;abigale
Abomination;Abominación
Abyssal Sire;Señor abisal
Abyssal demon;Demonio abisal
Abyssal guardian;guardián abisal
Abyssal leech;sanguijuela abisal
Abyssal orphan;Huérfano abisal
Abyssal walker;Caminante abisal
Account Guide;Guía de cuenta
Account security tutor;Tutor de seguridad de cuentas
Achietties;Logros
Acidic Bloodveld;Sabana de sangre ácida
Acorn;Bellota
Adamant dragon;dragón inflexible
Adamantite ore;Mineral de adamantita
Adventurer;Aventurero
Adventurer (easy);Aventurero (fácil)
Adventurer Jon;Jon el aventurero
Advisor Ghrim;Asesor Ghrim
Aemad;Aemad
Aeonisig Raispher;Aeonisig Raispher
Afflicted;Afligido
Afflicted(Razmire);Afligido (Razmire)
Afflicted(Ulsquire);Afligido (Ulsquire)
Afrah;Afrah
Aga;aga
Aggie;aggie
Agility Boss;Jefe de agilidad
Agility Instructor;Instructor de agilidad
Agility Trainer;Entrenador de agilidad
Agmundi;agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (duro)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (duro)
Ahab;Acab
Ahrim the Blighted;Ahrim el Desolado
Air elemental;elemental de aire
Air wizard;mago del aire
Aisles;Pasillos
Aivas;Aivas
Ajjat;ajjat
Ak-Haranu;Ak Haranu
Akthanakos;Aktanakos
Al Shabim;Al Shabim
Al the Camel;Al el camello
Al-Kharid warrior;Guerrero Al-Kharid
Alain;alain
Alan;alan
Albino bat;murciélago albino
Alchemical Hydra;Hidra alquímica
Alchemy Guardian;Guardián de la alquimia
Alec Kincade;Alec Kincade
Aleck;aleck
Alek Constantine;Alex Constantino
Alexander;Alejandro
Alexandra;alejandra
Alexis;alexis
Alfonse the waiter;alfonse el camarero
Ali Morrisane;Ali Morrisane
Ali The barman;Ali el barman
Ali the Camel;Ali el camello
Ali the Camel Man;Ali el hombre camello
Ali the Carter;Ali el carter
Ali the Farmer;Ali el granjero
Ali the Guard;Ali el guardia
Ali the Hag;Ali la bruja
Ali the Kebab seller;Ali el vendedor de kebab
Ali the Leaflet Dropper;Ali el cuentagotas
Ali the Mayor;Alí el alcalde
Ali the Operator;Ali el operador
Ali the Smith;Alí el herrero
Ali the Snake Charmer;Ali el encantador de serpientes
Ali the Tailor;Ali el sastre
Ali the dyer;Ali el tintorero
Alice;Alicia
Alice the Camel;Alicia el camello
Alice's husband;el marido de alicia
Allanna;alana
Almera;Almería
Alomone;alomona
Alrena;alrena
Alrik;Alrik
Alry the Angler;Alry el pescador
Altar;Altar
Altarkiz;Altarkiz
Aluft Gianne snr.;Aluft Gianne snr.
Alviss;alviss
Alwyn;alwyn
Alyssa;alyssa
Ambassador Alvijar;Embajador Alvíjar
Ambassador Ferrnook;Embajador Ferrnook
Ambassador Gimblewap;Embajador Gimblewap
Ambassador Spanfipple;Embajador Spanfipple
Amelia;amelia
Ammonite Crab;Cangrejo Amonita
Amrod;amrod
Amy;amy
An old Dwarf;un viejo enano
Ana;ana
Anaire;anaire
Ancient Fungi;Hongos antiguos
Ancient Ghost;Fantasma antiguo
Ancient Guardian;Guardián antiguo
Ancient Wizard;Mago antiguo
Ancient Wyvern;Wyvern antiguo
Ancient Zygomite;Cigomita antiguo
Ancient monkey;mono antiguo
Andiess Juip;Andy Juip
Andras;András
Andrea;andrea
Andros Mai;Andros Mai
Aneirin;Aneirina
Angel;Ángel
Angelo;ángel
Angry barbarian spirit;Espíritu bárbaro enojado
Angry bear;oso enojado
Angry giant rat;Rata gigante enojada
Angry goblin;duende enojado
Angry unicorn;unicornio enojado
Animated Adamant Armour;Armadura Adamant animada
Animated Black Armour;Armadura negra animada
Animated Bronze Armour;Armadura de bronce animada
Animated Iron Armour;Armadura de hierro animada
Animated Mithril Armour;Armadura de mitril animada
Animated Rune Armour;Armadura de runas animada
Animated Steel Armour;Armadura de acero animada
Animated spade;pala animada
Animated steel armour;Armadura de acero animada
Anita;anita
Anja;Anja
Ankou;Ankou
Anleif;Anleif
Anna;ana
Anna Jones;Anna Jones
Anne Isaakson;Anne Isaakson
Annette;anette
Annoyed guardian mummy;Mamá guardiana molesta
Anton;Antón
Anwen;anwen
Apmeken;Apmeken
Apothecary;Boticario
Apprentice;Aprendiz
Apprentice (medium);Aprendiz (medio)
Apprentice workman;aprendiz de obrero
Aranwe;Aranwe
Archaeological expert;Experto en arqueología
Archaeologist;Arqueólogo
Archeio;Arqueio
Archer;Arquero
Archpriest of the Unicorn;Arcipreste del Unicornio
Arcis;arcis
Aredhel;Aredhel
Aretha;aretha
Arhein;Arhein
Arianwyn;arianwyn
Arianwyn (hard);Arianwyn (duro)
Aristarchus;Aristarco
Armadylean guard;guardia armadyleana
Armod;armadura
Armour salesman;vendedor de armaduras
Armoured Foe;Enemigo blindado
Armourer (tier 1);Armero (nivel 1)
