'perfect' gold bar;"perfekt" guldtacka
'perfect' ring;"perfekt" ring
1/2 plain pizza;1/2 vanlig pizza
1/2 anchovy pizza;1/2 ansjovis pizza
1/2 pineapple pizza;1/2 ananaspizza
'perfect' necklace;"perfekt" halsband
'24-carat' sword;'24-karats' svärd
1/2 meat pizza;1/2 kött pizza
'perfect' gold ore;"perfekt" guldmalm
10th squad sigil;10th truppen sigil
2/3rds full jug;2/3rds full kanna
2/5ths full bucket;2/5ths full hink
20th anniversary bottom;20th jubileumsbotten
2/3 cake;2/3 tårta
2/3 chocolate cake;2/3 chokladkaka
20th anniversary boots;20th jubileumsstövlar
18lb shot;18lb skott
1/3rds full jug;1/3rds full kanna
1/5ths full bucket;1/5ths full hink
20th anniversary hat;20th jubileumshatt
3rd age axe;3rd ålder yxa
20th anniversary cape;20th jubileumsudde
3rd age bow;3rd åldersbåge
3rd age amulet;3rd åldersamulett
20th anniversary necklace;20th jubileumshalsband
20th anniversary top;20th jubileumstopp
22lb shot;22lb skott
20th anniversary gloves;20th jubileumshandskar
3/5ths full bucket;3/5ths full hink
3rd age druidic robe top;3rd ålder druidisk mantel topp
3rd age mage hat;3rd ålder mage hatt
3rd age full helmet;3rd ålder helhjälm
3rd age longsword;3rd ålder långsvärd
3rd age druidic staff;3rd ålder druidisk personal
3rd age druidic cloak;3rd ålder druidisk mantel
3rd age druidic robe bottoms;3rd ålder druidisk mantel botten
3rd age pickaxe;3rd ålder hacka
3rd age cloak;3rd åldersmantel
3rd age kiteshield;3rd ålder draksköld
3rd age range coif;3rd åldersintervall coif
3rd age platebody;3rd ålder plattkropp
3rd age range top;3rd åldersintervall topp
3rd age vambraces;3rd ålder vambraces
3rd age platelegs;3rd ålder tallrikben
3rd age range legs;3rd åldersintervall ben
3rd age robe top;3rd åldersrock topp
3rd age robe;3rd åldersrock
3rd age plateskirt;3rd ålder plattkjol
3rd age wand;3rd ålder trollstav
8-gallon jug;8-gallon kanna
5-gallon jug;5-gallon kanna
A blue pentagon;En blå femhörning
A blue circle;En blå cirkel
??? mixture;??? blandning
4-poster;4-poster 
4/5ths full bucket;4/5ths full hink
4th birthday hat;4th födelsedagshatt
A blue triangle;En blå triangel
A blue square;En blå fyrkant
A green triangle;En grön triangel
A dear friend;En kär vän
A chair;En stol
A dark disposition;En mörk läggning
A container;En container
A green circle;En grön cirkel
A green pentagon;En grön femhörning
A jester stick;En narrpinne
A green square;En grön fyrkant
A handwritten book;En handskriven bok
A red pentagon;En röd femhörning
A pattern;Ett mönster
A red square;En röd fyrkant
A red triangle;En röd triangel
A scribbled note;En klottrad lapp
A magic scroll;En magisk rulla
A powdered wig;En pudrad peruk
A red circle;En röd cirkel
A scruffy note;En tråkig ton
A small key;En liten nyckel
A stone bowl;En stenskål
A violet pentagon;En violett femhörning
A special tiara;En speciell tiara
A violet square;En violett fyrkant
A yellow circle;En gul cirkel
A taste of hope;En smak av hopp
A used spell;En använd besvärjelse
A violet circle;En violett cirkel
A yellow pentagon;En gul femhörning
A violet triangle;En violett triangel
Abyssal bludgeon;Avgrundsblomma
Ablenkian's escape;Ablenkians flykt
Absorption (4);Absorption (4)
Absorption (3);Absorption (3)
A yellow triangle;En gul triangel
Aberrant spectre;Avvikande spöke
Abyssal book;Abyssal bok
A yellow square;En gul fyrkant
Absorption (1);Absorption (1)
Absorption (2);Absorption (2)
Abyssal bracelet(2);Abyssal armband(2)
Abyssal dagger;Abyssal dolk
Abyssal demon;Abyssal demon
Abyssal dagger (p++);Abyssal dolk (p++)
Abyssal bracelet(4);Abyssal armband(4)
Abyssal dagger (p+);Abyssal dolk (p+)
Abyssal bracelet(3);Abyssal armband(3)
Abyssal dagger (p);Abyssal dolk (p)
Abyssal bracelet(1);Abyssal armband(1)
Abyssal bracelet(5);Abyssal armband(5)
Abyssal tentacle;Abyssal tentakel
Accumulator max hood;Ackumulator max huva
Achey tree logs;Ahey träd stockar
Accumulator max cape;Accumulator max cape
Acetic acid;Ättiksyra
Abyssal head;Abyssal huvud
Abyssal whip;Abyssal piska
Achievement diary cape;Prestation dagbok cape
Achievement diary cape (t);Prestationsdagbok cape (t)
Abyssal orphan;Abyssal föräldralös
Adamant arrow(p);Adamant pil(p)
Adamant arrow;Adamant pil
Adamant arrow(p+);Adamant pil(p+)
Adamant 2h sword;Adamant 2h svärd
Adamant arrowtips;Adamant pilspetsar
Adamant arrow(p++);Adamant arrow (p++)
Achievement gallery;Prestationsgalleri
Achievement diary hood;Prestation dagbok huva
Adamant arrow pack;Adamant pilpaket
Acorn;Ekollon
Adamant boots;Adamant stövlar
Adamant bolts (p+);Adamant bultar (p+)
Adamant bolts(unf);Adamant bultar (unf)
Adamant bolts (p);Adamant bultar (p)
Adamant brutal;Adamant brutal
Adamant axe head;Adamant yxhuvud
Adamant battleaxe;Adamant stridsyxa
Adamant bolts;Adamant bultar
Adamant bolts (p++);Adamant bultar (p++)
Adamant axe;Adamant yxa
Adamant dagger;Adamant dolk
Adamant dagger(p++);Adamantdolk(p++)
Adamant dart;Adamant dart
Adamant crossbow (u);Adamant armborst (u)
Adamant dagger(p);Adamant dolk (p)
Adamant chainbody;Adamant kedjekropp
Adamant cane;Adamant käpp
Adamant claws;Adamant klor
Adamant crossbow;Adamant armborst
Adamant dagger(p+);Adamant dolk (p+)
Adamant defender (broken);Adamant försvarare (trasig)
Adamant defender (l);Adamant försvarare (l)
Adamant fire arrow;Adamant eld pil
Adamant fire arrow (lit);Adamant eldpil (tänd)
Adamant dragon mask;Adamant drakemask
Adamant dart tip;Adamant dart tips
Adamant dart(p);Adamant dart(p)
Adamant dart(p+);Adamant dart(p+)
Adamant defender;Adamant försvarare
Adamant dart(p++);Adamant dart(p++)
Adamant halberd;Adamant hellebard
Adamant hasta;Adamant hasta
Adamant full helm (t);Adamant fullt rodret (t)
Adamant gold-trimmed set (sk);Adamant guldtrimmad set (sk)
