 Sneaky undead fowl;Smygande odöda höns
'Beedy-eye' Jones;"Beedy-eye" Jones
'Beefy' Burns;"Beefy" Burns
'Betty' B.Boppin;"Betty" B.Boppin
'Bird's-Eye' Jack;"Fågelperspektiv" Jack
'Birds-Eye' Jack;"Birds-Eye" Jack
'Black-eye';"Black-eye"
'Currency' The Alchemist;"Valuta" Alkemisten
'Eagle-eye' Shultz;'Eagle-eye' Shultz
'Gummy';'Klibbig'
'Lecherous' Lee;"Lecherous" Lee
'No fingers';"Inga fingrar"
'Picarron' Pete;"Picarron" Pete
'Sticky' Sanders;"Sticky" Sanders
'The Guns';"The Guns"
'Transmute' The Alchemist;"Omvandla" Alkemisten
1337sp34kr;1337sp34kr 
50% Luke;50% Luke
? ? ? ?;? ? ? ?
A Doubt;Ett tvivel
A pile of broken glass;En hög med krossat glas
A'abla;A'abla
Abbot Langley;Abbot Langley
Aberab;Aberab
Aberrant spectre;Avvikande spöke
Abhorrent spectre;Avskyvärt spöke
Abidor Crank;Abidor Crank
Abigaila;Abigaila
Abigale;Abigale
Abomination;Avsky
Abyssal Sire;Abyssal Sire
Abyssal demon;Abyssal demon
Abyssal guardian;Abyssal väktare
Abyssal leech;Abyssal igel
Abyssal orphan;Abyssal föräldralös
Abyssal walker;Abyssal vandrare
Account Guide;Kontoguide
Account security tutor;Handledare för kontosäkerhet
Achietties;Prestationer
Acidic Bloodveld;Surt blodfält
Acorn;Ekollon
Adamant dragon;Adamant drake
Adamantite ore;Adamantitmalm
Adventurer;Äventyrare
Adventurer (easy);Äventyrare (lätt)
Adventurer Jon;Äventyraren Jon
Advisor Ghrim;Rådgivare Ghrim
Aemad;Aemad
Aeonisig Raispher;Aeonisig Raispher
Afflicted;Drabbad
Afflicted(Razmire);Drabbad (Razmire)
Afflicted(Ulsquire);Drabbad (Ulsquire)
Afrah;Afrah
Aga;Aga
Aggie;Aggie
Agility Boss;Agility Boss
Agility Instructor;Agility instruktör
Agility Trainer;Agility tränare
Agmundi;Agmundi
Agnar;Agnar
Agrith Naar;Agrith Naar
Agrith Naar (hard);Agrith Naar (hård)
Agrith-Na-Na;Agrith-Na-Na
Agrith-Na-Na (hard);Agrith-Na-Na (hårt)
Ahab;Ahab
Ahrim the Blighted;Ahrim den fördärvade
Air elemental;Elementär luft
Air wizard;Air wizard
Aisles;Gångar
Aivas;Aivas
Ajjat;Ajjat
Ak-Haranu;Ak-Haranu
Akthanakos;Akthanakos
Al Shabim;Al Shabim
Al the Camel;Al kamelen
Al-Kharid warrior;Al-Kharid krigare
Alain;Alain
Alan;Alan
Albino bat;Albino fladdermus
Alchemical Hydra;Alkemisk Hydra
Alchemy Guardian;Alchemy Guardian
Alec Kincade;Alec Kincade
Aleck;Aleck
Alek Constantine;Alek Constantine
Alexander;Alexander
Alexandra;Alexandra
Alexis;Alexis
Alfonse the waiter;Kyparen Alfonse
Ali Morrisane;Ali Morrisane
Ali The barman;Ali Barman
Ali the Camel;Kamelen Ali
Ali the Camel Man;Kamelmannen Ali
Ali the Carter;Carter Ali
Ali the Farmer;Bonden Ali
Ali the Guard;Vakten Ali
Ali the Hag;Hagen Ali
Ali the Kebab seller;Kebabsäljaren Ali
Ali the Leaflet Dropper;Broschyrdropparen Ali
Ali the Mayor;Borgmästaren Ali
Ali the Operator;Operatören Ali
Ali the Smith;Smeden Ali
Ali the Snake Charmer;Ormtjusaren Ali
Ali the Tailor;Skräddaren Ali
Ali the dyer;Färgaren Ali
Alice;Alice
Alice the Camel;Kamelen Alice
Alice's husband;Alices man
Allanna;Allana
Almera;Almera
Alomone;Alomone
Alrena;Alrena
Alrik;Alrik
Alry the Angler;Alry sportfiskaren
Altar;Altare
Altarkiz;Altarkiz
Aluft Gianne snr.;Aluft Gianne snr.
Alviss;Alviss
Alwyn;Alwyn
Alyssa;Alyssa
Ambassador Alvijar;Ambassadör Alvijar
Ambassador Ferrnook;Ambassadör Ferrnook
Ambassador Gimblewap;Ambassadör Gimblewap
Ambassador Spanfipple;Ambassadör Spanfipple
Amelia;Amelia
Ammonite Crab;Ammonitkrabba
Amrod;Amrod
Amy;Amy
An old Dwarf;En gammal dvärg
Ana;Ana
Anaire;Anaire
Ancient Fungi;Gamla svampar
Ancient Ghost;Forntida spöke
Ancient Guardian;Forntida väktare
Ancient Wizard;Forntida trollkarl
Ancient Wyvern;Forntida Wyvern
Ancient Zygomite;Forntida Zygomit
Ancient monkey;Forntida apa
Andiess Juip;Andiess Juip
Andras;Andras
Andrea;Andrea
Andros Mai;Andros Mai
Aneirin;Aneirin
Angel;Ängel
Angelo;Angelo
Angry barbarian spirit;Arg barbaranda
Angry bear;Arg björn
Angry giant rat;Arg jätteråtta
Angry goblin;Arg troll
Angry unicorn;Arg enhörning
Animated Adamant Armour;Animerad Adamant Armor
Animated Black Armour;Animerad svart rustning
Animated Bronze Armour;Animerad bronsrustning
Animated Iron Armour;Animerad järnrustning
Animated Mithril Armour;Animerad Mithril Armor
Animated Rune Armour;Animerad Rune Armor
Animated Steel Armour;Animerad stålrustning
Animated spade;Animerad spade
Animated steel armour;Animerad stålpansar
Anita;Anita
Anja;Anja
Ankou;Ankou
Anleif;Anleif
Anna;Anna
Anna Jones;Anna Jones
Anne Isaakson;Anne Isaakson
Annette;Annette
Annoyed guardian mummy;Irriterad vårdnadshavare
Anton;Anton
Anwen;Anwen
Apmeken;Apmeken
Apothecary;Apotekare
Apprentice;Lärling
Apprentice (medium);Lärling (medium)
Apprentice workman;Lärling arbetare
Aranwe;Aranwe
Archaeological expert;Arkeologisk expert
Archaeologist;Arkeolog
Archeio;Archeio
Archer;Archer
Archpriest of the Unicorn;Enhörningens ärkepräst
Arcis;Arcis
Aredhel;Aredhel
Aretha;Aretha
Arhein;Arhein
Arianwyn;Arianwyn
Arianwyn (hard);Arianwyn (hård)
Aristarchus;Aristarchus
Armadylean guard;Armadylean vakt
Armod;Armod
Armour salesman;Pansarförsäljare
Armoured Foe;Pansarfiende
Armourer (tier 1);Armourer (nivå 1)
Armourer (tier 2);Armourer (nivå 2)
Armourer (tier 3);Armourer (tier 3)
Armourer (tier 4);Armourer (tier 4)
Armourer (tier 5);Armourer (tier 5)
Army Commander;Arméchef
Arno;Arno
Arnold Lydspor;Arnold Lydspor
Arnor;Arnor
Arrg;Arrg
Arrg (hard);Arrg (hårt)
Arsen the Thief;Arsen tjuven
Art;Konst
Art Critic Jacques;Konstkritiker Jacques
Arthur;Arthur
Arthur the Clue Hunter;Arthur ledtrådsjägaren
Artimeus;Artimeus
Artur Hosidius;Artur Hosidius
Arvel;Arvel
Arzinian Avatar of Magic;Arzinian Avatar of Magic
Arzinian Avatar of Ranging;Arzinian Avatar of Ranging
Arzinian Avatar of Strength;Arzinian Avatar of Strength
Arzinian Being of Bordanzan;Arzinian Being of Bordanzan
Ash;Aska
Ashild;Ashild
Askeladden;Askeladden
Assassin;Mördare
Assistant;Assistent
Assistant Brock;Assistent Brock
Assistant Le Smith;Assistent Le Smith
Assistant Lori;Assistent Lori
Assistant Marrow;Assistent Märg
Assistant Serf;Assisterande Serf
Assistant Stan;Assistent Stan
Asteros Arceuus;Asteros Arceuus
Asyff;Asyff
Asyn Shade;Asyn Shade
Asyn Shadow;Asyn Shadow
Asyn shadow;Asyn skugga
Atlas;Atlas
Aubury;Aubury
Auctioneer;Auktionsförrättare
Audmann;Audmann
Auguste;Auguste
Aurel;Aurel
Austri;Österrike
Autumn Elemental;Höstens elementära
Ava;Ava
Avan;Avan
Avatar of Creation;Avatar av skapelsen
Avatar of Destruction;Avatar av förstörelse
Aviansie;Aviansie
Awakened Altar;Uppvaknat altare
Awowogei;Awowogei
Awusah the Mayor;Awusah borgmästaren
Ayesha;Ayesha
Azzanadra;Azzanadra
Baba Yaga;Baba Yaga
Baby Chinchompa;Baby Chinchompa
Baby Mole;Baby mullvad
Baby Mole-rat;Baby mullvadsråtta
Baby Roc;Baby Roc
Baby black dragon;Baby svart drake
Baby blue dragon;Baby blå drake
Baby green dragon;Baby grön drake
Baby impling;Baby impling
Baby red dragon;Baby röd drake
Baby tanglefoot;Baby trasselfot
Badger;Grävling
Bailey;Bailey
Baker;Bagare
Bakuna;Bakuna
Bald Headed Eagle;Skallig örn
Balfrug Kreeyath;Balfrug Kreeyath
Balloon Animal;Ballongdjur
Balloon Toad;Ballongpadda
Bandit;Bandit
Bandit Leader;Banditledare
Bandit champion;Banditmästare
Bandit shopkeeper;Banditaffärsägare
Bandosian guard;Bandosian vakt
Banisoch;Banisoch
Bank guard;Bankvakt
Banker;Bankman
Banker tutor;Bankman handledare
Banknote Exchange Merchant;Sedelväxlingshandlare
Banshee;Banshee
Baraek;Baraek
Barb-tailed kebbit;Taggstjärtad kebbit
Barbara;Barbara
Barbarian;Barbar
Barbarian Warlord;Barbarisk krigsherre
Barbarian guard;Barbarvakt
Bardur;Bårdur
Barfy Bill;Barfy Bill
Barge foreman;Pråmförman
Barge guard;Pråmvakt
Barge workman;Pråm arbetare
Bark Blamish Snail;Bark Blamish Snigel
Barker;Barker
Barlak;Barlak
Barmaid;Bartender
Barman;Bartender
Barnabus Hurma;Barnabus Hurma
Barrelchest;Barrelchest
Barrelchest (hard);Barrelchest (hård)
Barricade;Barrikad
Bartak;Bartak
Bartender;Bartender
Basilisk;Basilisk
Basilisk Knight;Basilisk Knight
Basilisk Sentinel;Basilisk Sentinel
Basilisk Youngling;Basilisk Youngling
Bast;Bast
Bat;Slagträ
Batt Mellamy;Batt Mellamy
Battle mage;Kampmage
Battle tortoise display;Slagsköldpaddsvisning
Baxtorian;Baxtorian
Bear Cub;Björnunge
Bearded gorilla;Skäggig gorilla
Beaver;Bäver
Bed;Säng
Bedabin Nomad;Bedabin Nomad
Bedabin Nomad Fighter;Bedabin Nomad Fighter
Bedabin Nomad Guard;Bedabin nomadvakt
Bedread the bold;Bäddläs det djärva
Bee keeper;Biodlare
Bees!;Bin!
Beggar;Tiggare
Beigarth;Beigarth
Beite;Beite
Bellemorde;Bellemorde
Belona;Belona
Bench;Bänk
Benjamin;Benjamin
Benny;Benny
Bentamir;Bentamir
Bernald;Bernald
Berry;Bär
Berserk barbarian spirit;Bersärk barbaranda
Bert;Bert
Betty;Betty
Biblia;Biblia
Big Dave;Big Dave
Big Snake;Stor orm
Big Wolf;Stor varg
Big frog;Stor groda
BigRedJapan;BigRedJapan
Bill Teach;Bill Teach
Billy;Billy
Billy Goat;Billy Goat
Billy Rehnison;Billy Rehnison
Billy, a guard of Falador;Billy, en vakt från Falador
Bird;Fågel
Bjorn;Björn
Black Cat;Svart katt
Black Guard;Black Guard
Black Guard Berserker;Black Guard Berserker
Black Heather;Svart Ljung
Black Knight;Black Knight
Black Knight Captain;Black Knight Kapten
Black Knight Titan;Black Knight Titan
Black Knight Titan (hard);Black Knight Titan (hård)
Black bear;Svart björn
Black chinchompa;Svart chinchompa
Black demon;Svart demon
Black demon (hard);Svart demon (hård)
Black dragon;Svart drake
Black golem;Svart golem
Black knight;Svart riddare
Black salamander;Svart salamander
Black swan;Svart svan
Black unicorn;Svart enhörning
Black unicorn Foal;Svart enhörningsföl
Black warlock;Svart trollkarl
Blackjack seller;Blackjack säljare
Blaec;Blaec
Blair;Blair
Blandebir;Blandebir
Blanin;Blanin
Blasidar the sculptor;Blasidar skulptören
Blast Furnace Foreman;Masugnsförman
Blessed giant rat;Välsignade jätteråtta
Blessed spider;Välsignad spindel
Bloated Toad;Uppsvälld padda
Blood Blamish Snail;Blood Blamish Snigel
Blood spawn;Blod leker
Bloodhound;Blodhund
Bloodveld;Bloodveld
Bloodworm;Blodmask
Blue Monkey;Blå apa
Blue Opal Director;Blue Opal Director
Blue Opal Secretary;Blå Opal Sekreterare
Blue Sheep;Blå får
Blue dragon;Blå drake
Blurberry;Blurberry
Boar;Vildsvin
Boat;Båt
Bob;Guppa
Bob Barter (herbs);Bob Barter (örter)
Bob, another guard of Falador;Bob, en annan vakt från Falador
